SampleN,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,SumTS
A1_1_5,213.444,3.998880314,6.85,7.41,40.8,12.7,6.27,18.97,518.0252,24.04463387,Roam,6.12953897
A1_1_6,147.378,4.997800968,39.0,7.49,32.4,19.11,10.14,29.25,511.7574,11.7435038,Roam,9.2906143
A1_1_7,214.291,1.699932003,47.2,7.29,39.7,15.34,4.91,20.25,770.9394,12.94439194,Roam,8.70437705
A1_1_8,149.072,3.1,45.35,7.29,58.5,13.64,2.64,16.28,550.7194,15.10423057,Roam,3.78437703
A1_1_9,214.291,2.5,15.65,7.2,36.7,13.77,7.64,21.41,466.0194,20.22424341,Roam,10.7154596
A1_1_10,145.684,0.99980004,5.15,7.29,33.6,14.85,4.13,18.98,466.0194,16.14685532,Roam,8.89120817
A1_1_11,162.624,3.788936306,15.2,7.43,36.7,16.11,10.09,26.2,1013.1814,14.57079863,Roam,6.32845457
A1_1_12,145.684,1.295388417,32.25,7.45,40.4,7.9,30.92,38.82,401.6474,19.50590767,Roam,7.54643674
A1_1_13,214.291,1.196172249,3.45,7.19,34.7,10.85,4.59,15.44,537.1674,7.50428229,Roam,3.59501882
A1_1_14,198.198,4.587155963,17.05,7.55,34.3,9.66,6.0,15.66,469.4074,14.23104576,Roam,4.48556404
A1_1_15,162.624,13.19894408,18.4,7.41,67.9,10.48,7.62,18.1,660.8294,10.98089172,Roam,13.4620922
A1_2_5,204.974,2.595742982,91.35,7.64,126.1,11.59,3.67,15.26,1108.0454,16.2129361,Roam,7.89563974
A1_2_7,238.5152,2.395783421,102.05,7.56,117.5,6.37,7.32,13.69,1365.5334,15.65251127,Roam,14.1591278
A1_2_8,199.892,2.896755634,107.2,7.35,110.4,12.67,4.75,17.42,1407.8834,16.69288612,Roam,9.63754416
A1_2_9,243.5972,4.28867789,105.75,6.43,113.9,11.79,4.54,16.33,1285.9154,19.77992177,Roam,5.04564786
A1_2_10,199.892,1.59987201,71.6,6.61,108.3,9.92,4.57,14.49,1202.9094,14.68620925,Roam,10.5454431
A1_2_11,269.346,3.093935886,119.75,7.79,101.7,10.34,4.54,14.88,1407.8834,16.93315078,Roam,11.0847348
A1_2_12,188.034,4.18810578,88.7,7.74,99.4,9.04,10.03,19.07,1202.9094,19.8529862,Roam,10.7952651
A1_2_13,248.6792,3.494548504,99.85,7.68,115.6,19.24,36.68,55.92,1362.1454,18.09457885,Roam,5.7962708
A1_2_14,198.198,3.197442046,91.2,7.52,103.4,10.82,19.28,30.1,1174.6196,13.78232563,Roam,7.74037653
A1_2_15,322.8764,4.495324862,110.85,7.53,106.7,11.25,5.24,16.49,1255.4234,15.24709245,Roam,5.46909972
A1_3_3,296.45,69.93286445,304.85,7.16,163.7,14.28,9.38,23.66,1645.0434,20.3549195,Sandy,6.23947766
A1_3_5,289.674,90.7061122,337.5,7.72,127.1,10.74,3.55,14.29,1895.7554,17.60837472,Sandy,7.24609158
A1_3_6,267.652,66.71194024,167.3,7.85,171.9,9.77,2.4,12.17,1401.1074,22.85919555,Sandy,10.2084263
A1_3_7,201.586,76.78157242,287.55,7.58,133.1,10.0,3.0,13.0,39.1314,21.06854335,Sandy,9.90580186
A1_3_8,291.8762,68.21445668,288.0,7.72,258.0,13.35,6.55,19.9,1929.6354,18.52905843,Sandy,17.8071906
A1_3_9,389.62,62.36507556,313.45,7.45,143.5,9.61,3.8,13.41,1939.7994,30.19613615,Sandy,4.70883865
A1_3_10,269.346,45.59635229,166.05,7.2,105.4,7.56,2.17,9.73,1506.1354,28.71426599,Sandy,4.02240725
A1_3_11,338.8,74.59104907,187.35,7.55,93.8,6.99,2.14,9.13,56.0714,19.81139936,Sandy,4.08367461
A1_3_12,271.2094,47.08699122,156.35,7.25,82.5,9.89,4.33,14.22,1563.7314,23.91538836,Sandy,7.22422965
A1_3_13,335.412,64.12817644,234.4,7.35,106.5,7.72,3.58,11.3,1628.1034,18.12926257,Sandy,5.00796233
A1_3_14,339.9858,31.25374446,308.3,7.32,102.4,4.92,2.75,7.67,1919.4714,19.23032221,Sandy,6.82875902
A1_3_15,291.368,82.91376968,280.45,7.32,108.7,5.84,2.11,7.95,1927.9414,21.74025856,Sandy,3.47156001
A1_4_1,271.2094,6.584460673,600.65,7.62,209.0,10.09,2.36,12.45,1616.2454,0.000132594,Roam,7.37012367
A1_4_2,233.9414,4.991813426,96.0,7.75,160.6,11.5,4.07,15.57,1392.6374,17.63887421,Roam,12.907508
A1_4_3,267.652,17.4657671,237.5,8.45,103.9,9.49,5.09,14.58,1476.321,15.11195437,Roam,15.0815699
A1_4_5,253.0836,6.882930333,127.6,8.18,173.8,8.51,4.58,13.09,1356.5552,17.42160706,Roam,4.04718574
A1_4_6,188.034,7.986901482,89.8,8.13,173.8,10.26,3.66,13.92,1353.6754,13.96065728,Roam,6.41438498
A1_4_7,267.652,14.66656024,142.7,8.13,193.7,11.62,5.16,16.78,1576.9446,17.57099279,Roam,15.4278473
A1_4_8,201.586,11.99616123,153.45,8.12,290.0,12.52,4.39,16.91,1492.5834,19.25879471,Roam,11.813027
A1_4_9,269.346,17.87926006,115.95,8.09,162.4,10.78,6.94,17.72,1456.3318,10.3516305,Roam,9.3748222
A1_4_10,201.586,21.26003114,189.35,8.04,183.1,11.17,6.28,17.45,1643.3494,20.45310694,Roam,8.8521317
A1_4_11,271.2094,31.48866408,269.05,8.06,166.7,10.89,10.64,21.53,139.4162,20.41606922,Roam,5.54630047
A1_4_12,337.106,38.09333865,362.75,8.02,170.3,12.27,9.18,21.45,2052.9586,23.88336692,Roam,8.8863263
A1_4_13,257.3186,10.57884232,159.0,7.98,134.7,10.53,4.98,15.51,1521.7202,23.05771903,Roam,10.821524
A1_4_14,198.198,20.07029596,174.4,7.96,195.1,12.33,7.45,19.78,1487.5014,22.0191582,Roam,8.98383235
A1_4_15,267.652,12.77904237,202.1,7.95,164.6,19.73,5.11,24.84,1421.9436,21.46341989,Roam,14.5179675
A2_1_1,138.908,15.07226703,89.55,7.91,70.4,18.18,3.65,21.83,845.4754,19.32002012,Roam,8.63561063
A2_1_3,191.422,5.489241087,48.95,6.47,78.3,16.06,3.21,19.27,750.6114,43.38137108,Roam,5.20072162
A2_1_4,137.214,4.583682092,36.45,6.93,52.7,12.02,2.59,14.61,637.1134,19.69522294,Roam,3.42978411
A2_1_5,186.34,11.19015267,45.0,6.85,81.8,17.27,3.32,20.59,711.6494,14.48701617,Roam,4.68252791
A2_1_6,267.652,7.691078349,51.8,6.88,60.1,14.26,3.06,17.32,833.1092,11.06666858,Roam,14.3922317
A2_1_7,245.63,14.36380322,24.5,6.83,67.3,12.8,3.0,15.8,806.5134,11.49531616,Roam,5.15391004
A2_1_8,214.291,5.09144637,57.95,6.8,75.4,13.88,5.75,19.63,857.164,13.98410743,Roam,9.31390025
A2_1_9,298.144,6.98379759,78.35,6.8,69.6,15.13,4.82,19.95,1016.5694,12.75181537,Roam,2.52111707
A2_1_10,271.2094,59.38574742,87.45,6.27,132.7,22.12,7.43,29.55,1093.1382,15.86054634,Roam,6.2654502
A2_1_11,162.624,8.27682489,46.6,6.13,68.1,15.37,3.23,18.6,850.5574,17.40661612,Roam,5.0314173
A2_1_12,267.652,13.75982132,46.3,5.75,237.0,19.11,4.71,23.82,1051.8046,14.58856067,Roam,9.15003471
A2_1_14,186.34,15.8695305,64.4,6.44,69.3,16.45,3.94,20.39,1092.7994,11.54757844,Roam,4.40338309
A2_1_15,267.652,8.074162679,68.65,6.56,68.0,13.94,6.0,19.94,1106.8596,15.36635683,Roam,4.28305784
