SampleN,V_S,Na_S,Co_S,SumTS
A3_1_9,37.86653814,551.9079888,12.21592866,6.64494442
A3_1_10,33.61190058,576.774516,10.86172634,7.51144827
A3_1_11,37.62036855,580.6350508,12.53895893,14.0538438
A3_1_12,40.27734521,423.7299953,12.50122035,6.71343546
A3_1_13,43.47606023,587.7324118,13.60576549,6.25402875
A3_1_14,40.7856366,644.9620669,12.38620554,8.02713565
A3_1_15,45.98992739,474.1326989,13.80351246,7.05582551
A3_2_1,39.88197293,496.948121,11.65367693,8.85572304
A3_2_2,36.4540151,417.4289562,9.719103131,8.40736587
A3_2_5,34.73193957,543.7678203,10.131876,6.36538686
A3_2_6,30.6532175,433.2906527,9.273636116,15.540286
A3_2_7,42.02912513,395.4308499,13.10842673,7.56958564
A3_2_8,35.39453976,541.869695,11.16320651,6.36115135
A3_2_9,34.09139795,436.4517147,10.69118817,13.2495414
A3_2_10,43.54729188,669.3637866,12.20929217,4.33328152
A3_2_11,43.82174383,490.5128312,11.58682117,6.56621801
A3_2_12,46.39271572,425.517862,12.18552596,3.69677213
A3_2_13,35.19122173,447.9643595,10.22953868,6.30232157
A3_2_14,30.8383118,407.2569267,9.637116723,11.414092
A3_2_15,35.82999242,576.3005247,11.06203708,5.29310059
A3_3_2,47.7786557,489.4621083,10.88220288,4.09674206
A3_3_5,30.57970094,456.7339567,7.397400645,5.2714414
A3_3_6,20.58565214,461.5206642,4.885432719,3.88028085
A3_3_7,21.78181742,238.2663275,5.444882792,8.55818376
A3_3_8,23.87693246,492.5305652,5.50006713,6.45109927
A3_3_9,25.32638547,263.3462058,6.104577251,3.58956517
A3_3_10,21.79293713,425.9101769,5.401861457,5.98206333
A3_3_11,26.29536201,583.7739967,6.647486707,4.50307087
A3_3_12,22.67257226,615.4315886,6.016559414,3.80522044
A3_3_13,26.88858634,358.3543297,6.430501899,8.43595922
A3_3_14,23.23669647,399.1922102,5.696924298,4.24431618
A3_3_15,23.61390983,415.81920360000004,5.65215703,7.47977887
A5_1_1,39.59546283,341.9428289,10.42644918,9.07404803
A5_1_2,45.95561765,413.6238252,11.5941154,13.1951828
A5_1_3,49.43382987,424.7816138,12.24171657,11.8516862
A5_1_4,43.93721832,397.6881804,10.57814603,12.131657
A5_1_5,38.77288179,416.569397,9.925765484,18.7645276
A5_1_6,39.04167301,481.0242564,9.881359403,21.4486654
A5_1_7,38.78691512,474.1500656,9.844561267,14.898623
A5_1_8,40.38123732,447.1535236,10.79318114,17.1878259
A5_1_9,41.2409972,402.3279902,10.21819952,3.12917722
A5_1_10,40.77699233,383.8781724,10.17567075,6.82570885
A5_1_11,39.91125652,395.9038527,10.2198786,14.9494809
A5_1_12,37.37034905,350.1820923,9.498749105,12.3400376
A5_1_13,34.71034567,340.6073848,8.746021421,7.59879261
A5_1_14,36.40310828,337.0411396,9.477458986,8.89757047
A5_1_15,36.8160506,345.0045202,9.620424115,9.26392582
A5_1_16,34.06342221,268.4883195,8.88338547,14.9150658
A5_1_13d,35.2600806,347.7869791,9.043528815,8.56641583
A5_1_14d,41.54885925,366.2426788,11.01996687,11.5411993
A5_2_1,31.77251776,233.1996764,7.725758387,11.5534482
A5_2_2,33.10144069,267.2044431,8.134122861,14.0181308
A5_2_3,31.57177976,227.3575005,7.383077456,14.3742917
A5_2_4,32.82486803,247.5206005,8.049265649,13.7902942
A5_2_5,30.86429298,257.1421745,7.383994481,13.8006457
A5_2_6,34.81348931,559.8171705,8.982508377,15.9131394
A5_2_7,19.37835567,172.1374757,5.219523957,9.52888762
A5_2_8,19.4328628,145.9740967,5.360255502,12.3230494
A5_2_9,23.59350875,167.6530851,6.318625252,10.2371666
A5_2_10,17.57205652,128.4763572,4.58309107,10.5598095
A5_2_11,17.4487985,108.5193216,4.716692887,2.64643363
A5_2_12,19.94392987,144.6773732,5.517017666,12.8053526
A5_2_13,18.32688382,134.2894158,4.781672471,9.17975548
A5_2_14,20.6156235,126.3940369,5.685471413,15.323941
A5_2_15,18.22082988,127.8302298,4.954242935,14.6181507
A5_2_16,23.30348099,154.6358082,6.059501835,11.4306093
A5_3_4,23.63505925,157.3573293,6.71653117,13.1229181
A5_3_5,24.92798571,164.7934984,6.840535106,5.89808975
A5_3_6,19.08272551,124.1452317,5.160356201,8.17340101
A5_3_7,19.53468409,150.6902834,5.509607243,11.2357642
A5_3_8,17.92269607,135.2390691,4.881629628,6.71893528
A5_3_9,18.08525423,133.3053924,5.016959358,14.8336788
A5_3_10,25.19706408,161.9192285,6.928228262,7.89675979
A5_3_11,22.4083848,155.2992741,6.233663975,9.28840264
A5_3_12,23.35535731,173.7753494,6.446128132,11.5495939
A5_3_13,20.05115086,141.6276288,5.543965945,11.0298568
A5_3_14,24.82306336,181.2046107,6.916373689,13.2416985
A5_3_15,23.9571871,160.5481709,6.597709779,10.8381637
B2_2_8,65.991,466.7305,10.9395,0.86013661
B2_2_9,66.4505,607.5655,10.9355,2.53586201
B2_2_10,62.448,519.1835,10.5935,0.81259666
B2_2_11,70.3325,589.2165,11.421,1.20238711
B2_2_12,62.969,475.2035,10.195,2.93275107
B2_2_13,63.8065,562.1845,10.667,2.57547244
B2_2_14,72.58,666.2405,10.925,1.98345004
B2_2_15,63.321,521.813,10.7195,0.80849201
B2_3_1,63.4785,363.609,11.12,3.92223082
B2_3_2,73.0955,323.7035,12.938,1.99140431
B2_3_3,64.4545,407.375,11.5735,2.50644711
B2_3_4,56.1095,312.692,10.7805,2.09653015
B2_3_6,57.1785,243.3835,12.043,0.54716445
B2_3_7,57.341,322.968,11.8595,3.00859392
B2_3_9,76.1825,425.1245,13.949,1.81311299
B2_3_10,65.9315,316.0155,12.3095,1.21997383
B2_3_11,56.4605,272.136,10.8185,2.06810664
B2_3_12,65.059,452.915,11.4335,1.6341739
B2_3_13,66.56,318.9965,12.736,1.27781695
B2_3_14,50.227,333.774,9.566,3.52892555
B3_1_5,14.03199715,497.502692,3.95294799,0.84982267
B3_1_6,14.33276537,390.11862299999996,4.252214629,1.0154581
B3_1_7,12.87624737,532.8904365999999,3.690414563,1.14023282
B3_1_8,17.85444706,431.0298734,5.216666075,0.94787888
B3_1_9,13.55749247,439.767584,3.927908409,1.49296155
B3_1_10,13.09149944,385.6580798,3.770808737,1.58529708
B3_1_11,17.36385771,556.1058396000001,5.064169027,1.98900487
B3_1_12,14.02389569,364.91484479999997,4.094359014,1.93724039
B3_1_13,11.53058578,571.2080087,3.247437216,1.1756118
