SampleN,Pb_S,Cr_S,Cd_S,As_S,Sb_S,Sn_S,SumTS
A3_3_5,7.556981283,24.27753441,0.088912787,3.320120859,0.306051253,4.352957532,5.2714414
A3_3_6,5.209509247,16.43404244,0.143614461,2.374996143,0.203751289,3.025051623,3.88028085
A3_3_7,5.504668804,18.92401023,0.050269222,2.504309797,0.244315602,3.434360042,8.55818376
A3_3_8,6.406315169,19.59641544,0.08021228,2.808947921,0.261899344,3.909722263,6.45109927
A3_3_9,6.103199114,20.90329234,0.065404168,2.906642492,0.262748484,3.613245543,3.58956517
A3_3_10,5.746831708,18.33580734,0.069552782,2.576435242,0.24107156,3.402824643,5.98206333
A3_3_11,6.151590898,21.53292662,0.092285976,3.329342259,0.22936319,3.561833663,4.50307087
A3_3_12,5.485243822,18.90148976,0.066608765,2.279775756,0.220629833,3.322816614,3.80522044
A3_3_13,6.767889267,21.61206955,0.079219836,2.803123888,0.260486287,3.820745664,8.43595922
A3_3_14,8.031813782,19.79549702,0.052497834,2.069113948,0.184816526,3.446663423,4.24431618
A3_3_15,6.924395063,18.98634462,0.082860867,2.684828648,0.240841016,3.515673662,7.47977887
A5_1_1,13.66243601,35.80509616,1.051529807,1.18211179,0.0005332,5.874731487,9.07404803
A5_1_2,12.0692753,37.89323673,0.449924652,1.507115647,0.0005332,5.92535446,13.1951828
A5_1_3,15.14773814,40.08143923,1.620441795,9.542206944,0.0005332,5.769674422,11.8516862
A5_1_4,11.34777756,37.89279147,0.524953628,1.257040098,0.0005332,5.736991946,12.131657
A5_1_5,10.50260112,35.59260985,1.695047426,1.314785382,0.0005332,5.51079161,18.7645276
A5_1_6,10.20333711,31.15005621,1.5032805,1.442126327,0.0005332,5.669731953,21.4486654
A5_1_7,11.26415417,35.32166458,2.627484698,1.489286261,0.0005332,5.738710068,14.898623
A5_1_8,11.09167094,33.57330898,0.667679066,1.441323932,0.0005332,5.89208312,17.1878259
A5_1_9,10.94860005,32.68672701,0.696626263,10.09964759,0.0005332,5.814840241,3.12917722
A5_1_10,11.34414218,32.69112634,4.095006591,1.270377174,0.0005332,5.632221761,6.82570885
A5_1_11,10.78441404,32.80022619,1.096458714,1.540208625,0.0005332,5.651608183,14.9494809
A5_1_12,10.00536018,30.95153206,0.975095912,1.125412583,0.0005332,5.448870083,12.3400376
A5_1_13,8.947196846,28.31903762,0.439935733,0.962431056,0.0005332,5.51189151,7.59879261
A5_1_14,10.17145917,32.47187773,0.503682592,1.116670294,0.0005332,5.585392299,8.89757047
A5_1_15,9.520812012,31.51141044,0.531530828,1.15785438,0.0005332,5.566254717,9.26392582
A5_1_16,12.85896203,31.59468884,2.800395714,1.188034999,0.699241076,6.058476872,14.9150658
A5_1_13d,9.322511584,34.21857407,0.662812003,1.229798754,0.0005332,5.558218008,8.56641583
A5_1_14d,12.11013167,35.78037389,1.139943415,10.5127545,0.0005332,5.88517675,11.5411993
A5_2_1,11.07500453,30.50823963,1.855275745,1.129433314,0.634848754,5.996531596,11.5534482
A5_2_2,12.5115719,29.42116902,0.665176403,1.319842143,0.672894745,5.975891868,14.0181308
A5_2_3,11.19246753,28.26922345,1.016640517,7.376172268,0.609732758,6.028213269,14.3742917
A5_2_4,11.83524492,29.8976827,0.948166391,1.170122155,0.614376121,6.204955378,13.7902942
A5_2_5,11.25991593,25.93031576,0.678551723,1.216331149,0.659819655,5.870432498,13.8006457
A5_2_6,13.8029871,32.5048229,1.226285127,1.262883201,0.718005064,6.237028415,15.9131394
A5_2_7,11.6354631,16.72596672,0.247878197,1.068388727,0.458342436,3.379718007,9.52888762
A5_2_8,9.422950292,16.80144935,0.414266251,0.796316465,0.413888751,3.166001125,12.3230494
A5_2_9,8.967574104,19.96055785,0.196468311,1.002400759,0.534288126,3.857694166,10.2371666
A5_2_10,8.610532605,15.02027517,0.262636854,0.86150208,0.373618785,2.935958193,10.5598095
A5_2_11,6.565640619,15.02243343,0.194535379,0.812477418,0.389339923,2.818573736,2.64643363
A5_2_12,7.910751539,17.54487388,0.439323104,0.97362366,0.437485875,3.309272209,12.8053526
A5_2_13,7.389720305,17.25616605,0.488095239,0.954538044,0.409432182,3.150946344,9.17975548
A5_2_14,9.309836729,17.9099706,0.316637031,0.934241173,0.436818788,3.168890038,15.323941
A5_2_15,7.122234573,15.59171407,0.176009967,0.827320887,0.352843076,2.953416968,14.6181507
A5_2_16,9.20115026,20.96152498,0.378292851,0.873279008,0.513422606,3.645366447,11.4306093
A5_3_4,8.934253148,20.38638722,0.24244163,1.098225881,0.472212114,3.732406926,13.1229181
A5_3_5,9.517422509,21.75546343,1.486434479,1.089691075,0.533605268,3.971425334,5.89808975
A5_3_6,6.992185945,16.19528621,0.855739963,1.179568982,0.392698902,3.079698985,8.17340101
A5_3_7,7.409869094,16.89693492,0.302571298,1.039770517,0.441889742,3.154913222,11.2357642
A5_3_8,6.54821332,15.58493234,0.411044684,1.070841592,0.474296185,3.036647975,6.71893528
A5_3_9,6.659964576,15.57656146,0.303168308,1.004116251,0.407232722,2.928540525,14.8336788
A5_3_10,9.192493803,20.97080727,0.220646161,0.992665104,0.552151479,4.015250578,7.89675979
A5_3_11,8.634169491,19.03012393,0.203536458,0.945773734,0.473018952,3.645379009,9.28840264
A5_3_12,8.735697503,20.24064669,0.347531453,1.152318784,0.51014129,4.006297501,11.5495939
A5_3_13,7.543979962,17.07829361,0.186760736,0.998813159,0.448362235,3.347250774,11.0298568
A5_3_14,12.24086231,22.86026119,0.388238625,1.07545107,0.620655143,4.28846525,13.2416985
A5_3_15,10.2012394,23.93085161,0.233016713,1.139274917,0.569827646,4.180768015,10.8381637
B2_2_8,10.782,44.2065,0.197,7.519,0.2475,2.921,0.86013661
B2_2_9,9.946,46.6685,0.1725,7.3375,0.4835,2.9805,2.53586201
B2_2_10,10.2325,44.2035,0.1815,7.409,0.215,2.8295,0.81259666
B2_2_11,10.253,46.312,0.1895,7.665,0.2145,3.0655,1.20238711
B2_2_12,9.1595,41.7535,0.161,6.8645,0.16,2.7295,2.93275107
B2_2_13,12.3295,44.368,0.1855,7.8615,0.205,2.9145,2.57547244
B2_2_14,9.6805,48.8395,0.1965,7.7015,0.278,3.8365,1.98345004
B2_2_15,10.603,44.329,0.213,7.4395,0.237,2.8885,0.80849201
B2_3_1,12.461,48.5395,0.169,10.235,0.313,2.828,3.92223082
B2_3_2,13.774,55.6775,0.1845,9.8115,0.2725,2.676,1.99140431
B2_3_3,13.364,52.144,0.1795,8.85,0.264,2.7195,2.50644711
B2_3_4,12.1965,50.8415,0.172,8.7125,0.2345,2.4815,2.09653015
B2_3_6,12.6935,50.643,0.1805,9.22,0.572,2.4185,0.54716445
B2_3_7,12.755,51.993,0.174,8.563,0.2505,2.442,3.00859392
B2_3_9,15.5625,66.9735,0.213,10.4885,0.2875,2.841,1.81311299
B2_3_10,12.723,56.9565,0.1675,8.703,0.2335,2.5005,1.21997383
B2_3_11,12.82,49.178,0.176,8.585,0.364,2.5635,2.06810664
B2_3_12,12.4195,55.3185,0.1835,8.437,0.3525,2.974,1.6341739
B2_3_13,13.3185,61.788,0.1905,9.223,0.242,2.564,1.27781695
B2_3_14,13.3285,38.6415,0.168,9.3595,0.2655,2.666,3.52892555
B3_1_5,7.67378786,12.86672211,0.100877272,4.018028427,0.2663358,3.500071792,0.84982267
B3_1_6,7.289171989,12.77587542,0.113038523,4.332978709,0.312891603,3.554604383,1.0154581
B3_1_7,6.47195071,11.58572015,0.084639057,3.7645159,0.261327095,3.125548735,1.14023282
B3_1_8,9.670836418,15.93538735,0.100527592,5.403027922,0.357582973,4.074037151,0.94787888
B3_1_9,6.89109828,12.3962618,0.087897244,3.942848658,0.295174549,3.447576745,1.49296155
B3_1_10,6.52406038,12.03965727,0.07971427,3.809996176,0.269571233,3.335622799,1.58529708
B3_1_11,9.063926262,15.44775366,0.108546882,5.146555982,0.348732345,3.924059186,1.98900487
B3_1_12,7.321985249,13.19143976,0.102632395,4.191220541,0.284171228,3.476454671,1.93724039
B3_1_13,5.888466932,10.50777608,0.078136584,3.352551777,0.246957066,3.05944688,1.1756118
B3_1_14,7.815392724,14.27154777,0.11029006,4.554420028,0.313294888,3.765816833,1.96029139
B3_2_5,7.984656618,26.10545243,0.096545056,4.92835209,0.379397772,4.534887348,3.0177288
B3_2_6,8.461214046,23.35998051,0.068328981,5.317197686,0.434539802,4.207279048,4.36629786
B3_2_7,8.336689527,25.11822268,0.072499293,5.197646422,0.424335989,4.466669223,3.06934659
B3_2_8,7.910335035,24.96043077,0.07605423,4.749174252,0.953929048,4.12430515,4.43310655
B3_2_9,9.297520497,24.94573282,0.098454194,5.688763355,0.538163284,4.436791844,5.54839835
B3_2_10,9.360885711,29.37972943,0.088625267,6.427075026,0.452871747,4.940185053,3.57391581
B3_2_11,10.02940167,25.24390633,0.091206482,6.141078467,0.43623988,4.617261696,4.69591199
B3_2_13,9.173016544,25.69230973,0.085947188,6.033506796,0.444130796,4.587272932,3.39249889
B3_2_14,9.709325756,24.39860081,0.093175883,6.12102617,0.493118977,6.934926541,4.46871695
B3_2_15,9.68438369,25.34624181,0.089142172,6.325331417,0.49080364,6.277820144,7.89368061
B3_3_5,14.46206374,30.67103411,0.13621036,8.322750792,0.578406427,4.954611041,0.69650165
B3_3_6,14.4869053,30.08005664,0.13562675,8.22860786,0.560744207,4.939716852,1.17551942
B3_3_7,15.6648017,32.22027284,0.141884065,8.871391001,0.599655809,4.950428216,2.51494815
B3_3_8,14.85301825,30.92843699,0.140877339,8.223867694,0.599822928,4.874425525,0.45407133
B3_3_9,13.8287431,28.02815272,0.130557089,7.628555012,0.548568243,4.403338919,0.8273304
B3_3_10,13.48739791,27.51666306,0.123608042,7.816606474,0.570092939,4.459180969,0.86805331
B3_3_11,12.8503784,27.01003148,0.116852502,7.314068338,0.529576388,4.399459853,1.13340464
B3_3_13,14.20925403,30.20146952,0.145165672,8.052050659,0.570764358,4.886384178,0.51373908
B3_3_14,14.94093405,31.10202468,0.134532174,8.324579287,0.609966699,4.923348211,0.69984957
B3_3_15,14.08299167,36.08751833,0.151744683,8.429327488,0.593547731,4.860139381,0.23996605
C1_1_1,5.80647687,31.01228294,0.283087556,0.52041595,0.256534853,3.583612678,9.28917591
C1_1_2,3.860214303,45.42980624,2.76024905,0.464659894,0.181041012,3.692065464,18.1656021
C1_1_3,5.393430232,43.958841,0.673943983,0.40156621,0.163748,3.605182447,13.3148562
C1_1_4,5.369179804,51.55008262,0.262889675,0.676326243,0.22053248,3.939608598,5.48009605
C1_1_5,5.593145974,65.43808905,0.626116122,0.631698892,0.293383879,4.056383594,14.2906471
C1_1_6,6.906136947,69.64984667,0.390491305,1.136587618,0.36910218,4.209781118,6.55533934
C1_1_7,6.124346572,50.67121539,0.604587917,0.786404904,0.276598818,4.186748525,7.73165642
C1_1_8,6.585395535,52.19023252,0.351369518,0.514535868,0.156182002,2.717325684,3.16567685
C1_1_9,4.929336419,45.13317516,0.362912394,0.579433168,0.231322468,3.490025345,3.88428563
C1_1_10,6.611024182,33.40705183,0.683342356,0.44710414,0.244054175,4.016688966,9.92776122
C1_1_11,4.173216392,60.5008141,0.451897405,0.691471726,0.206004671,4.644491609,15.1166877
C1_1_12,6.198257692,39.12566197,0.328304999,0.504282858,0.253221201,3.971032711,11.6129034
C1_1_13,5.817553242,78.38660255,2.405071837,1.718939981,0.222968005,6.039237716,8.44888142
C1_1_14,7.770930896,79.9953993,1.189950597,2.385908165,0.322366884,6.023725631,5.17560108
C1_1_15,7.404524093,65.38097478,0.59833659,2.380779002,0.296007298,5.602435877,9.26339787
C1_2_1,15.89545768,34.65726194,0.765869167,9.496277177,0.644311509,5.465838983,10.7044857
C1_2_2,16.80608895,34.94555305,0.468903869,10.21173313,0.726294435,5.87931103,6.13841237
C1_2_3,12.85404442,23.93893059,0.290023017,6.156960193,0.530215103,5.684728562,3.73709508
C1_2_4,17.75325464,33.02714429,0.329424669,9.99300689,0.734322471,5.850915768,5.51472793
C1_2_5,14.98291712,31.64147589,0.221342207,8.297442387,0.633653416,5.711772913,3.46969329
C1_2_6,16.54311994,32.39554724,0.78516219,9.34416958,0.741932954,5.852474132,1.32017311
C1_2_7,16.07959247,31.57245637,0.535688091,9.487331547,0.767196496,5.614962288,8.9922877
C1_2_8,14.55170639,26.87958638,0.360689131,8.264071776,0.628070554,5.76257788,4.31284145
C1_2_9,15.85656945,28.66858876,0.258395043,8.710396771,0.668052022,5.88148532,7.39142619
C1_2_10,12.82984361,22.65085763,0.444436085,6.72901801,0.559342286,5.518939172,4.46507626
C1_2_11,19.18203921,28.05368468,0.23072134,9.040491702,0.667061642,5.973497468,5.66848097
C1_2_12,17.1269919,29.96153269,0.359885078,9.603510214,0.730196701,5.953346207,3.20702526
C1_2_13,17.44959029,36.34138123,2.036270121,10.54449186,0.798403871,6.021314629,10.3059194
C1_2_14,13.06510364,27.81538687,0.322150821,7.831837114,0.660806854,5.894178926,0.56000093
C1_2_15,15.3468538,32.53514782,0.279676057,10.09531878,0.759257057,6.076640705,5.18236306
C1_3_1,10.89000924,22.38384488,0.339388566,5.574542225,0.460843045,5.533239678,0.29673571
C1_3_2,10.95525226,23.35929244,0.191462464,5.804413429,0.497470674,5.465236874,1.84663183
C1_3_3,11.26954442,22.85222162,0.326034685,5.935475565,0.514666275,4.737277785,0.93398731
C1_3_4,12.68843533,23.02910633,0.273861806,6.292474213,0.550919892,5.792185667,0.59626432
C1_3_5,12.89117334,22.31824368,0.293400036,5.619892345,0.510028616,11.36937174,0.41726575
C1_3_6,11.93517674,23.22045381,0.226608705,5.94900348,0.578671695,5.764218228,0.59047946
C1_3_7,12.9070092,22.4743118,0.198937136,6.401465468,0.518958048,5.834864199,1.71318651
C1_3_8,11.79920327,19.91627991,0.214960492,5.732723923,0.510671421,5.682078123,0.50795346
C1_3_9,11.95775989,20.71051261,0.206591342,5.68049046,0.506964887,5.734218538,6.03187482
C1_3_10,11.39855039,20.2844854,0.260781974,3.688304185,0.447139181,5.046205218,0.62284484
C1_3_11,10.47751121,22.82810535,0.431551396,5.695203266,0.511449095,5.906568658,1.38036505
C1_3_12,12.88924924,26.32700421,0.296853503,6.692857693,0.534953202,5.75813921,2.23891639
C1_3_13,12.79222389,24.68553234,0.422733603,6.102710293,0.524390941,6.247949585,2.61995987
C1_3_14,13.55856283,27.55826684,0.571433548,5.930845248,0.509435573,6.512971181,1.51622875
C1_3_15,14.33550973,70.32993056,0.154602225,2.717250976,0.291567456,4.823673442,1.5520063
C2_1_1,15.5745,44.4175,0.2325,13.5525,0.4705,2.396,2.38389827
C2_1_2,15.212,49.2715,0.186,15.4705,0.9275,2.4365,0.68918522
C2_1_3,13.547,38.1075,0.2675,13.6625,0.8865,2.0535,6.1817862
C2_1_4,13.768,43.96,0.406,13.7995,0.4485,2.1555,3.38751591
C2_1_5,14.5305,49.0565,0.2185,15.2045,0.4735,2.5635,1.44121211
C2_1_6,13.589,44.633,0.0835,14.1185,0.382,2.203,1.8547526
C2_1_7,15.195,52.937,0.098,16.539,0.4505,2.299,3.44259623
C2_1_8,14.317,46.771,0.2845,14.4515,0.4175,2.3485,2.03475667
C2_1_9,13.6435,46.378,0.104,14.5045,0.9125,2.4755,1.94103142
C2_1_10,13.5205,47.1525,0.094,14.614,0.6385,2.312,3.57848379
C2_1_11,14.312,45.2695,0.118,14.715,0.713,2.2575,0.85772091
C2_1_12,13.318,43.5665,0.367,13.622,0.494,2.234,1.60478838
C2_1_13,14.7825,47.05,0.094,14.875,0.6855,2.2475,1.32266646
C2_1_14,17.271,46.5635,0.1695,15.043,1.0275,2.356,1.60005689
C2_1_15,12.8295,48.647,0.057,15.782,0.8375,2.304,2.44242539
C2_2_1,18.374,43.0525,0.232,11.6885,0.525,3.123,4.94815433
C2_2_2,19.552,42.929,0.229,12.289,0.521,3.2595,7.99257962
C2_2_3,21.8065,52.622,0.2345,13.182,0.584,3.4665,2.41763553
C2_2_4,18.754,49.348,0.2455,13.691,0.47,3.2595,2.77650221
C2_2_5,17.1475,35.2735,0.222,10.841,0.6015,2.872,6.96729446
C2_2_6,19.821,57.7655,0.3675,12.302,1.5655,4.004,3.53108632
C2_2_7,19.0575,42.7415,0.231,11.9005,0.509,3.2155,6.8556172
C2_2_8,17.972,38.2595,0.2005,11.8725,0.604,2.9155,9.29138855
C2_2_10,21.9345,50.9105,0.2315,13.0945,0.5435,3.108,7.95873383
C2_2_11,18.7855,39.7795,0.212,11.1435,0.5295,3.5255,6.35992176
C2_2_12,20.3445,43.866,0.2295,12.891,0.488,3.242,4.15025084
C2_2_14,17.5685,37.157,0.195,10.9485,0.4535,2.884,4.00473282
C2_2_15,17.1095,38.982,0.2095,10.466,0.518,3.148,7.41239649
C2_3_1,22.0115,47.313,0.2255,12.467,0.8445,3.382,1.85412971
C2_3_2,22.3245,49.525,0.2265,12.628,0.897,3.4195,1.62396768
