SampleN,Mn_S,Cu_S,Fe_S,Zn_S,Mg_S,K_S,Ca_S,Mo_S,SumTS
C1_1_10,1154.837133,95.77750955,68788.76173,90.91775088,8126.08648,2104.849251,10202.41899,0.832269977,9.92776122
C1_1_11,1186.631491,118.3969961,76673.66761,79.56148635,8669.264889,903.2565628,12583.96516,0.566035778,15.1166877
C1_1_12,1058.979286,92.87428678,64994.19377,75.45483347,7159.579473,1292.208393,10198.81985,0.409370522,11.6129034
C1_1_13,1370.059446,127.8437257,82541.32116,82.23762375,9438.16061,2036.890085,11400.16745,1.351682235,8.44888142
C1_1_14,1537.341628,130.693558,82345.96779,80.77769162,9511.499186,1446.341954,11190.90909,0.570600356,5.17560108
C1_1_15,1284.165236,114.6137014,71577.38996,69.67249492,8258.455681,1474.147193,10313.66856,0.505867972,9.26339787
C1_2_1,468.4906454,26.84183264,25796.87569,39.61277977,5071.632048,2673.10874,3116.893051,0.602793543,10.7044857
C1_2_2,493.8885657,30.39580737,26796.8454,41.81387989,5669.031556,3040.854879,3343.093359,0.688424687,6.13841237
C1_2_3,352.8052025,25.55669764,18869.9128,31.3759579,3202.627355,2216.906945,1861.516555,0.556040572,3.73709508
C1_2_4,511.9104053,31.44214743,28126.77892,52.57625159,5559.219872,3131.090178,3312.621506,0.67894478,5.51472793
C1_2_5,438.1331179,27.40328777,22983.13702,42.76420373,4660.365977,2712.738994,3007.847536,0.585593991,3.46969329
C1_2_6,464.409395,30.00760812,25379.39721,43.17968396,5088.58558,2962.578969,3212.870694,0.628834279,1.32017311
C1_2_7,475.3657184,28.18661332,24661.39206,40.61595669,5054.869628,2700.162735,3127.904669,0.665043838,8.9922877
C1_2_8,415.7929715,26.41191945,22148.22489,37.9893873,4286.550378,2612.46392,2876.63915,0.663050387,4.31284145
C1_2_9,430.9106722,28.45544936,23569.0844,40.20901226,4615.384743,2732.257134,2852.891342,0.630078532,7.39142619
C1_2_10,340.2319183,23.73802051,19524.20467,33.66841785,3540.118952,2227.633926,2269.828692,0.543843392,4.46507626
C1_2_11,472.4134847,28.92033253,25152.80791,42.79579748,4713.276119,2889.15912,2822.617486,0.687039902,5.66848097
C1_2_12,473.3026299,28.07030245,25579.23243,43.17526671,5055.165012,2838.935512,2968.900294,0.68448945,3.20702526
C1_2_13,483.0586027,32.70481949,26134.30049,52.81814111,5282.649203,2774.663982,3569.493575,0.833253326,10.3059194
C1_2_14,406.2266334,24.59739252,21938.6819,39.52766931,4017.368229,2566.153528,2268.889393,1.308150816,0.56000093
C1_2_15,535.8741129,29.02897694,27812.05244,51.01191082,5962.663385,3425.074929,3583.116537,0.873780417,5.18236306
C1_3_1,302.9424311,25.54767247,15580.33672,31.00172133,2935.41501,1824.859385,1950.256509,0.258952034,0.29673571
C1_3_2,319.2691892,24.67395483,15879.87817,32.01323041,3008.874913,1882.121604,1910.059713,0.262337274,1.84663183
C1_3_3,386.3270923,28.04163024,16151.12645,32.28926405,3090.503699,1849.598033,2141.643749,0.298599139,0.93398731
C1_3_4,346.8602022,35.3165707,17029.86099,30.55009349,3227.477181,2114.24524,2196.315868,0.281027209,0.59626432
C1_3_5,332.9836158,33.53424731,15690.38702,28.15121039,2896.215346,1834.444038,1817.815868,0.25470101,0.41726575
C1_3_6,351.4340971,30.92766192,16421.37909,30.09311314,3129.250058,2039.162547,2008.870556,0.271510651,0.59047946
C1_3_7,359.4330341,32.35912198,17179.2051,28.99194538,3264.298138,2033.817363,1947.556101,0.248385244,1.71318651
C1_3_8,327.4512985,35.43846617,15259.98025,27.12371809,2837.725053,1813.587594,1829.608907,0.231004806,0.50795346
C1_3_9,357.7406352,33.79772422,15269.90355,26.08559159,2815.593262,1795.483001,1838.838086,0.238535512,6.03187482
C1_3_10,354.6357683,29.14153776,14546.36261,26.69831332,2678.979466,1604.301808,1847.789123,0.209415602,0.62284484
C1_3_11,326.143248,48.62669556,15926.07582,27.08768234,3288.866793,2066.194381,2170.359518,1.056988153,1.38036505
C1_3_12,463.0729705,51.20799467,19151.76396,29.71083356,3863.572921,2401.457138,2265.173008,0.524771773,2.23891639
C1_3_13,373.2810613,37.81702824,16364.80781,29.03764373,2943.291612,1967.761373,2089.868816,0.276802408,2.61995987
C1_3_14,354.1664163,44.0868384,15984.96781,37.6268746,3033.578025,2092.153936,3541.277135,0.256840008,1.51622875
C1_3_15,276.5412591,21.43658084,7535.981027,25.04978649,1334.916078,872.5594614,1446.401057,0.278808858,1.5520063
C2_1_1,502.0,20.1565,23963.5,259.889,6950.5,2701.5,18279.5,1.8765,2.38389827
C2_1_2,584.5,20.9815,27235.0,78.097,7851.0,3330.5,9042.5,0.57,0.68918522
C2_1_3,590.0,20.0435,28083.5,71.3935,7921.0,2314.0,9342.5,0.4255,6.1817862
C2_1_4,547.0,20.8895,25526.0,78.119,7336.5,2679.0,9087.5,1.621,3.38751591
C2_1_5,516.0,22.6595,25018.0,81.5585,6937.0,3097.0,8289.5,1.443,1.44121211
C2_1_6,687.5,20.1805,29297.5,72.0725,8159.0,3425.0,10603.0,0.614,1.8547526
C2_1_7,605.5,23.2615,30428.5,84.208,8560.5,3338.5,11375.5,0.597,3.44259623
C2_1_8,568.5,22.1085,25480.0,73.38,7186.0,2623.5,9440.5,0.409,2.03475667
C2_1_9,509.5,19.5145,24800.5,79.1055,7108.5,3160.5,9641.5,1.1815,1.94103142
C2_1_10,515.0,20.8155,25324.5,72.269,9348.0,3104.0,27115.0,0.2865,3.57848379
C2_1_11,570.0,22.264,27675.5,78.029,7829.0,2946.5,8313.5,0.3625,0.85772091
C2_1_12,588.5,20.502,26318.0,72.7505,8028.5,5957.0,10254.0,0.3245,1.60478838
C2_1_13,711.5,21.521,34533.5,76.5455,9784.0,3616.0,12112.0,0.414,1.32266646
C2_1_14,718.5,20.34,32905.0,74.488,10647.5,3879.0,24008.5,0.394,1.60005689
C2_1_15,524.0,20.982,29177.5,75.188,7788.5,3399.0,10449.0,0.427,2.44242539
C2_2_1,564.0,15.5795,27676.5,62.356,8597.0,6504.5,49796.5,0.5635,4.94815433
C2_2_2,600.0,16.1445,29962.5,106.5435,8845.5,6876.0,26663.0,0.633,7.99257962
C2_2_3,660.5,24.063,33233.0,87.041,14165.0,9084.0,42675.0,0.7885,2.41763553
C2_2_4,661.0,19.885,31747.0,87.0845,10130.0,6155.5,24753.5,0.7465,2.77650221
C2_2_5,556.5,14.3075,30285.5,55.534,7881.5,5451.0,36371.5,0.6665,6.96729446
C2_2_6,637.5,21.306,33216.0,69.098,11529.0,7230.5,94423.5,0.793,3.53108632
C2_2_7,588.5,16.24,28582.0,68.0615,8848.0,7310.5,26372.0,0.632,6.8556172
C2_2_8,578.0,15.338,26875.0,54.6815,8220.0,5715.5,33141.0,0.5885,9.29138855
C2_2_10,673.5,24.086,34109.5,84.196,14780.5,8810.0,45520.5,0.7005,7.95873383
C2_2_11,522.5,15.7455,25802.5,78.32,8002.0,5915.0,25618.5,0.6155,6.35992176
C2_2_12,601.5,16.163,28149.0,60.3605,8362.5,6522.5,24110.5,0.681,4.15025084
C2_2_14,545.0,14.268,27250.5,59.733,8345.5,5926.5,32480.5,0.724,4.00473282
C2_2_15,518.5,14.56,24323.0,70.619,7556.5,6449.0,23929.0,0.6115,7.41239649
C2_3_1,638.0,17.683,30818.5,74.814,9907.5,6424.0,24451.0,0.531,1.85412971
C2_3_2,1265.0,18.5725,62503.0,76.998,21065.5,14097.5,47195.5,0.55,1.62396768
C2_3_3,593.5,19.0175,26483.0,96.923,7385.0,2331.0,30817.5,0.4255,1.96391958
C2_3_4,628.0,14.684,29442.0,72.1295,8295.5,5892.5,30264.0,0.57,2.18015866
C2_3_5,777.0,17.5665,37785.5,60.5465,13163.5,8090.0,28518.5,0.568,1.94962146
C2_3_6,695.0,18.1595,33113.0,62.336,10758.0,7259.5,26165.0,0.8225,2.63312128
C2_3_7,570.0,13.9745,28140.0,84.138,8372.5,5030.5,40916.5,0.5485,2.06513137
C2_3_8,1383.0,19.2085,67729.0,78.7315,23259.5,17990.0,56340.0,0.6305,1.6003764
C2_3_9,678.5,17.584,31741.5,63.3215,10369.5,7282.5,27548.0,0.565,2.31284372
C2_3_10,581.5,15.9,29117.0,53.6925,8261.5,4190.5,23679.0,0.537,2.57820055
C2_3_11,702.0,18.6025,34196.0,76.0565,11578.5,6787.0,26483.0,0.5415,2.89358939
C2_3_12,996.0,19.368,47391.0,76.813,17037.0,11313.5,78561.0,0.9575,4.70722714
C2_3_13,669.0,18.579,32926.0,76.358,11177.5,7455.0,25411.0,0.5685,1.98731377
C2_3_14,653.5,16.7975,32269.0,58.4055,11097.5,8165.5,25024.0,0.4895,2.47281571
C2_3_15,762.5,18.3325,36348.0,71.8465,11852.0,7944.5,29416.5,0.5815,2.02644209
C3_1_1,308.8400709,28.60812963,18090.60622,28.619073,4030.664831,2507.588339,4000.816197,0.318796844,0.75690167
C3_1_2,333.9277485,27.95072088,18561.47467,29.70785417,4037.14934,2228.237307,4337.935358,0.350433417,2.26219127
C3_1_3,524.912358,40.65681228,31340.05136,44.94692184,7240.554624,3892.589525,6509.826229,0.593567619,2.77016987
C3_1_4,335.2147036,26.89950261,19561.45695,28.57514269,4616.231649,2384.161867,4806.391409,0.348990389,3.36959591
C3_1_5,315.6370608,23.88264308,18095.43361,25.9471755,3963.771195,2132.2656,4024.469519,0.324684053,4.03425261
C3_1_6,615.2303548,49.07053486,35825.91394,53.46822095,8651.789704,4713.857107,9695.812372,0.737566471,4.93372907
C3_1_7,531.2907526,44.81023733,32047.86505,49.22006256,7539.908466,4492.561309,8216.48763,0.779463547,4.61698535
C3_1_8,511.6933683,41.66446479,31143.08718,43.06590228,7153.094263,4202.697042,7732.571676,0.60126969,2.31304111
C3_1_9,463.5978574,35.49248712,27797.65768,46.56060899,6422.271381,3618.680954,6012.58782,0.521983949,1.26271653
C3_1_10,450.4409073,33.91604469,26884.6609,40.43317162,6229.139141,3215.395,5924.449779,0.480619632,2.15336363
C3_1_11,482.4858961,32.0594002,28857.83957,40.74043032,6613.290049,3657.145301,6143.799776,0.526394496,5.32812908
C3_1_12,537.3910372,34.02542223,31900.92813,44.67445893,7365.541252,4017.582248,6311.369743,0.924684673,2.15011473
C3_1_13,545.8609417,33.04464566,30944.21592,43.87930442,7044.022852,3733.838999,6165.4744,0.51836476,2.8191988
C3_1_14,527.9556856,33.69729852,30613.64743,43.82483015,7050.908351,3662.610769,7360.101063,0.535498429,1.70121196
C3_1_15,458.5605516,30.78208471,26537.64905,40.13242648,6077.15702,3132.282413,5953.74102,0.649266311,2.17286812
C3_2_1,458.5913648,28.56475015,24249.06878,38.59970577,5261.23338,3396.297065,7076.748866,0.514926459,1.52207055
C3_2_2,614.0841764,35.93554891,32789.53129,50.47697639,7196.534219,4584.246388,9005.049802,0.809290039,1.25912625
C3_2_3,664.7836813,39.98720823,34650.76984,54.67353792,7485.821136,4515.262425,8903.757313,0.78428081,8.03108721
C3_2_4,654.0197037,40.06594527,35514.41706,49.44590434,7655.162431,4587.527315,8573.301179,0.845832694,2.23672063
C3_2_5,657.0238265,55.20473287,34824.73946,53.08840302,7502.369462,4461.063924,8231.780596,0.78381319,2.73053043
C3_2_6,658.4039321,38.70540607,33381.28561,52.47545462,7321.904713,4412.345531,8208.67121,0.653978734,7.26687573
C3_2_7,596.3762515,36.6762534,32007.04848,46.72737476,6930.543844,4254.04098,7426.193309,0.588845148,5.63871692
C3_2_8,659.7813451,45.99710235,35474.15293,55.81720822,7792.122255,5057.857029,8707.846921,0.638533512,1.95857049
C3_2_9,576.4116871,36.53363235,30657.93844,47.61827428,6405.85991,4041.234744,6935.46822,0.564377789,6.05822439
C3_2_10,640.5714091,40.07241065,33447.01018,48.98763038,7210.690609,4534.026072,7406.532105,0.646012757,7.5636624
C3_2_11,659.7781055,38.86994278,33107.82755,47.67360247,7033.857263,4228.874383,7001.194154,0.602810032,7.10651794
C3_2_12,562.0790099,34.23429119,29393.88773,41.15408828,6316.158109,3906.23641,6426.489194,0.553932712,1.72277832
C3_2_13,612.2886403,37.3550879,32785.67041,45.41740216,6900.551855,4374.114565,7556.097452,0.622316229,2.29496137
C3_2_14,570.6139246,36.90829976,30580.00223,44.61147709,6354.0767,4004.67677,6568.854861,0.588567514,7.19838632
C3_2_15,620.4421456,39.16827513,32522.68882,46.08306836,6841.880597,4495.622517,7283.056666,0.60511997,1.91185046
C3_3_1,186.2136385,17.72933902,10580.4597,16.38642707,2987.514642,1107.354834,32280.43661,0.306442561,3.34782893
C3_3_2,193.8179727,15.1369693,10949.74962,16.76931335,3039.1389,1148.548203,30336.88706,0.306738284,5.08807029
C3_3_3,202.5796487,15.10565264,11211.33793,18.36240833,3159.255609,1183.949718,35147.63998,0.27088945,1.65727255
C3_3_4,196.2927347,16.21169319,10929.16019,18.02314609,3082.435487,1189.652864,37343.48655,0.283605662,11.3495064
C3_3_5,219.1689233,16.2689165,12087.79006,19.09490028,3387.841874,1287.278319,38576.52914,0.293940888,9.12385778
C3_3_6,284.2537198,18.82027156,16100.14574,24.49028269,4407.537599,1737.441289,40399.92613,0.380217188,3.33441405
C3_3_7,211.0460995,16.942046,11759.99152,18.99338097,3396.71059,1399.068708,36254.08869,0.285667127,1.40825369
C3_3_8,196.5882251,15.04788781,11091.15452,22.48287925,2974.090915,1232.359166,29669.07591,0.302992558,8.02947917
C3_3_9,175.0433098,12.90113538,9851.493258,16.57065061,2691.765948,1087.979992,25564.54691,0.233006942,3.4909486
C3_3_10,189.8315177,13.15352541,10956.90757,21.94828285,2938.197479,1159.98429,30379.55906,0.256079497,11.6099775
C3_3_12,194.8219237,15.85039636,11151.04594,20.4537761,2895.706554,1204.485047,25736.09146,0.38553039,8.33619249
C3_3_13,225.5681638,15.22377652,12433.31697,23.94669612,3419.875571,1365.425683,30139.75178,0.297203732,5.14429551
C3_3_14,217.1663834,15.44878468,12010.53655,22.67977817,3320.279566,1333.840973,25639.09379,0.256524212,12.1021853
C3_3_15,191.8298145,13.23696879,10725.20638,20.433854,2909.735001,1216.319538,25926.44321,0.237546664,6.80823859
D1_1_1,699.0,18.1685,32537.5,83.697,13127.5,6789.5,62952.0,0.893,3.09074293
D1_1_2,571.0,16.8475,27255.0,93.8985,10914.0,4467.0,54493.0,0.849,3.4245826
D1_1_3,810.0,22.3725,34642.5,73.3025,14973.5,9222.5,62366.5,1.043,6.45916733
D1_1_4,655.5,19.207,31162.0,68.3795,12643.5,7697.0,58132.5,0.8215,2.52562148
D1_1_5,697.5,18.7495,32620.0,65.8195,13131.5,7979.5,60443.5,0.8055,2.59008023
D1_1_6,655.0,17.6965,31317.0,69.5955,12533.0,8185.5,59581.0,0.828,3.2900164
D1_1_7,739.5,19.2275,32042.5,63.455,13420.5,8598.5,57090.0,0.838,1.18214422
D1_1_8,653.0,17.65,30708.5,60.6765,12296.5,6970.5,57249.5,0.7665,1.52138023
D1_1_9,518.0,19.0685,28564.5,64.7695,6258.0,6085.5,6150.0,0.84,2.72126498
D1_1_10,824.0,20.4565,35470.0,72.422,14973.0,9601.0,61902.0,0.8585,4.57951982
D1_1_11,696.0,19.3885,30059.0,68.8075,12611.0,7881.5,52205.0,0.7845,3.12807097
D1_1_12,683.5,19.8575,29395.5,71.388,12264.5,7225.5,52986.0,0.8625,2.33516884
D1_1_14,,,,,,,,,2.15060592
D2_1_1,493.0042844,24.25557235,23221.4395,38.40251137,8522.821155,3894.742978,31761.17431,0.784532371,0.65341443
D2_1_2,534.4921167,28.51793746,24977.46978,45.17157719,9220.427797,4331.227399,34393.96023,0.754600427,0.60383613
D2_1_3,530.6979539,25.65531391,24898.40169,40.25374074,9426.535844,4137.035067,36135.79703,0.70151821,0.47987713
D2_1_4,544.3670707,27.48115505,24921.84105,45.74598633,9265.130122,4448.448259,34479.3474,0.696406396,0.66220949
D2_1_5,582.2784419,29.37012006,26602.5861,48.33202263,9869.667897,4350.156208,37044.07161,0.645697653,0.44207692
D2_1_6,531.733897,25.82170843,25084.48138,39.28000299,9683.859975,4398.984458,36523.59901,0.606548589,1.80361269
D2_1_7,566.0704526,26.9196303,26381.46215,41.00070363,9905.988166,4514.657101,37100.59359,0.596252963,1.57654778
D2_1_8,357.2275277,24.19135616,16559.02825,36.98436201,6355.026042,3024.895344,23380.98405,0.370798358,0.80089519
D2_1_9,335.5777279,20.65812523,15673.80396,28.80995043,6137.535845,2806.048615,22575.40735,0.32277805,0.65425885
D2_1_10,395.7197939,24.59958096,17836.12487,41.45973353,6974.276909,3367.417959,25814.39022,0.40724754,0.85140201
D2_1_11,420.0427726,23.27463848,19786.40238,34.96824228,7794.869122,3542.556969,28100.43218,0.393557265,1.72878365
D2_1_12,328.2592546,18.24061123,15551.22697,28.30287607,5803.85909,2722.566792,21179.7865,0.340933597,2.24601036
D2_1_13,390.6655843,22.1119616,18555.28456,33.94230856,6812.704227,3105.208272,25313.80295,0.4061773,1.67423555
D2_1_14,374.5318412,22.56947905,17492.31097,38.39414329,6386.613136,2946.371957,24043.60563,0.394568411,2.75630899
D2_1_15,314.7101546,17.68769409,14828.58062,26.28489384,5512.305112,2586.270617,20342.26512,0.301385932,2.49807364
D2_2_1,318.0636664,17.30944096,15590.81468,34.85323309,6304.152503,2313.026031,27888.33652,0.469117854,1.4200936
D2_2_2,330.5754726,16.83128725,16231.89779,27.77123761,6330.746222,2436.580424,29432.3757,0.407182139,1.5323692
D2_2_3,354.2324462,18.05895596,17444.57037,38.05086253,6999.379472,2742.89633,31147.5445,0.448649011,1.50317172
D2_2_4,344.2818821,18.30597479,16519.78532,40.96480752,6917.951036,2545.81136,30994.77554,0.353717673,1.47309498
D2_2_5,367.5229178,18.34581346,17814.59117,37.19597794,7140.716624,2800.103262,31083.23085,0.401838189,2.45955994
D2_2_6,364.1776339,19.22751182,18014.37878,35.81254167,7266.722205,2735.860248,31547.60362,0.367239159,2.92013651
D2_2_7,399.0439401,19.19800246,19689.14727,33.17818091,7898.727471,3090.263879,34568.21083,0.396503405,1.18911426
D2_2_8,338.8416527,16.97937678,16314.99913,30.83621484,6660.135035,2517.067091,29180.70606,0.305097875,1.30773091
D2_2_9,389.5411767,22.6270065,18578.47886,52.88063628,7502.622229,2950.456524,33094.91756,0.392320597,0.88994066
D2_2_10,325.9968664,16.8356009,15846.94906,39.23590532,6484.675389,2445.413914,28315.94496,0.298337327,2.50306224
D2_2_11,367.3961909,19.38173693,17653.35222,46.5503766,7125.715938,2717.258879,30397.90092,0.344135589,1.56808546
D2_2_12,346.0258065,18.71055019,16784.52857,33.81708377,6854.17242,2624.438694,29995.76808,0.319082171,3.32594368
D2_2_13,312.8612125,16.49322377,15058.37502,35.01949098,6034.809395,2394.705803,26076.12805,0.268560524,3.01611147
D2_2_15,335.8570566,17.41206647,16197.88635,37.24172312,6416.04319,2575.094504,26905.30414,0.308803347,1.69486375
D2_3_1,410.4360403,18.61712902,21284.23313,31.67313946,8545.565145,3106.378426,33443.13547,0.404422336,2.08147617
D2_3_2,408.2743097,17.61137919,21166.26723,29.79872685,8345.678438,3159.478795,32703.41891,0.436046362,1.07558705
D2_3_3,432.4479539,18.40811587,22401.34514,30.40533208,9009.70646,3362.697128,34703.29012,0.420260452,1.55189725
D2_3_5,446.9488133,18.98914846,23338.281,32.01091029,9318.799164,3466.275794,35432.70672,0.433877175,1.32805053
D2_3_6,404.7529221,17.78018954,20807.49921,28.55174035,8252.958782,3030.993356,30832.88401,0.35234263,2.54088759
D2_3_7,402.5868516,18.00202912,20662.63241,28.89505871,8317.605882,3022.707936,30868.85035,0.364001985,2.06873179
D2_3_8,440.8096282,18.91963777,22718.4559,31.19129793,9112.890012,3368.999479,34754.01605,0.40519329,3.15215381
D2_3_9,437.7519588,19.09790074,22730.51195,31.6524981,9060.950786,3422.795514,33644.75869,0.405808688,3.14769871
D2_3_10,424.1988609,18.17719599,21882.12963,29.30507636,8747.44104,3223.667471,33181.37566,0.366766084,2.69951074
D2_3_11,435.1490135,18.71466547,22513.80612,29.75754412,9073.89463,3286.408915,34853.95865,0.409050612,2.09414755
D2_3_12,441.0142306,18.92541278,22683.13419,30.9488173,9266.838631,3460.284572,35137.65006,0.389953444,2.58460343
D2_3_13,402.7188299,17.42946584,20619.19147,28.17518838,8274.900029,3170.133138,31353.23014,0.348369257,3.27699339
D2_3_14,422.54109,18.06871876,21709.41801,29.09571972,8633.168844,3131.447541,32938.11952,0.358197481,1.6355821
D2_3_15,428.3373445,18.52084435,22314.76547,30.26692066,8821.592096,3214.627631,33160.87855,0.380764102,5.45810878
D3_1_1,491.0,14.4325,22267.5,57.5255,10404.0,5438.5,35166.0,0.8285,1.43685992
D3_1_2,551.5,11.765,25478.0,56.071,11814.5,4443.0,43150.5,0.3845,1.62929226
D3_1_3,555.5,15.3305,24840.0,65.239,11584.0,5293.5,39454.0,0.9415,2.91605212
D3_1_4,609.0,15.4785,27144.0,85.0955,12447.5,5484.5,43163.5,0.9975,5.30445715
D3_1_5,559.0,15.5675,24817.0,63.2435,11346.5,5807.0,37995.0,0.9335,2.585736
D3_1_6,569.0,15.277,25195.0,71.9635,11665.0,5615.0,39993.0,0.9075,1.54121891
D3_1_7,565.0,14.454,26716.0,62.651,12285.0,3905.0,44300.5,0.474,1.82880064
D3_1_8,553.0,16.221,25345.0,69.7455,11749.0,6021.5,38372.0,0.9285,2.99636237
D3_1_10,577.5,11.625,25412.5,56.357,11718.5,3465.5,42881.5,0.3945,2.28637726
D3_1_11,627.5,16.183,27908.0,57.9615,13103.5,6436.5,44015.5,0.7825,1.3300767
D3_1_12,725.0,31.922,43902.5,113.452,5891.5,10491.0,6954.0,1.3505,1.56524699
D3_1_13,651.0,14.7745,25436.5,59.153,12369.5,9275.5,42228.0,0.847,1.17542882
D3_1_14,572.0,15.974,25665.5,57.9575,11912.0,5664.5,40208.5,0.7725,2.61787657
D3_1_15,598.5,17.059,26670.0,62.313,12322.5,8071.5,40776.0,0.853,2.85551429
D4_1_1,793.0,24.0765,33366.0,86.213,13105.0,7256.5,51071.5,0.986,2.75678141
D4_1_2,767.0,22.942,31897.5,85.9445,12504.5,7018.5,49065.5,1.009,1.33712878
D4_1_3,765.5,24.369,33114.5,83.9685,11784.0,5612.5,46949.0,0.9345,0.98381214
D4_1_5,678.0,22.4195,28292.0,82.5645,11205.5,6243.5,47178.0,0.88,0.90687228
D4_1_6,783.5,23.667,33247.5,91.6515,13160.5,9686.5,55095.5,0.9015,1.35801261
D4_1_7,870.5,23.386,36633.5,85.4215,14336.5,9532.0,54462.5,0.82,1.15114423
D4_1_8,729.5,22.906,30525.0,88.469,13866.5,7260.0,76149.5,0.988,1.87561201
D4_1_9,729.0,23.4195,30178.0,80.0455,11894.0,5905.5,47684.5,0.866,1.17644645
D4_1_10,749.5,22.0105,32635.0,76.208,11839.5,5621.0,46589.0,0.8005,2.21556408
D4_1_12,892.5,23.6175,38250.0,154.3525,14007.5,8850.0,52690.0,1.145,1.08396668
D4_1_13,809.0,21.4945,34217.5,103.565,12491.0,6707.0,45028.0,1.1595,1.58027404
D4_1_14,818.5,23.801,33823.0,85.49,13318.0,7590.0,54951.0,0.949,0.91136081
D4_1_15,981.5,24.155,42172.5,87.6675,15494.0,9257.0,62199.0,0.9405,0.78265525
D5_1_1,688.0,18.8975,31024.5,85.5365,8789.5,3103.0,34904.0,0.8205,8.19560365
D5_1_2,708.5,17.5915,34283.0,105.221,10010.5,6235.0,40327.0,0.9245,3.0191563
D5_1_3,704.0,17.8245,34105.5,114.066,10024.0,6419.5,41092.5,1.068,4.93434492
D5_1_4,694.5,17.7415,30941.0,95.008,8885.0,3421.5,35445.0,0.758,4.15276071
D5_1_5,691.0,19.492,30637.0,93.426,8974.5,3632.0,33537.5,0.8705,4.0119959
D5_1_6,663.0,19.772,33192.0,122.019,10262.0,7006.0,37996.5,1.2485,4.3347593
D5_1_7,684.5,20.792,31490.5,92.373,9622.0,3484.5,34091.5,0.872,4.52488857
D5_1_8,737.0,21.0995,33900.5,103.0985,10184.5,4296.5,36334.5,0.9015,5.5733946
D5_1_9,765.0,22.256,34467.0,103.5635,10532.0,4077.0,37010.5,0.967,3.71103333
D5_1_10,755.0,22.7655,34488.5,99.7465,10509.0,4465.5,36648.5,0.983,3.16642247
D5_1_11,762.5,22.167,34466.5,94.8715,10566.0,5037.5,36447.5,0.9015,1.07784389
D5_1_12,745.0,24.5385,33297.5,102.525,10091.0,4391.0,35723.5,1.0205,2.28595972
D5_1_14,810.5,21.4965,36546.5,88.505,10914.5,4529.5,38541.5,0.909,1.55952839
D5_1_15,685.0,19.2965,30378.0,84.7085,9056.5,3178.5,35215.5,0.8775,6.69047406
D5_2_1,769.5,20.722,35112.5,105.368,13079.5,7057.5,57186.0,0.8065,2.74705745
D5_2_2,741.5,19.727,33508.5,95.11,12617.0,6520.0,56052.5,0.6885,9.9239627
D5_2_3,855.5,24.9965,37838.0,117.302,14202.0,7625.5,62039.5,1.1595,6.81500013
D5_2_4,730.5,19.6665,33793.5,93.598,12958.0,5329.5,56222.0,0.6185,5.27706666
D5_2_5,719.5,19.0185,33182.0,88.827,12906.0,6661.5,53155.0,0.852,4.01323753
D5_2_6,635.0,17.1365,29166.5,84.4305,11353.0,5158.5,46808.0,0.909,7.81164254
D5_2_8,705.5,19.7235,32542.0,94.4065,12646.5,6763.0,52374.5,0.72,3.25343155
D5_2_9,723.5,20.1695,33859.5,93.6305,12867.0,6608.5,54425.0,0.784,7.53742623
D5_2_10,713.5,20.125,33256.5,98.7045,12716.0,6042.0,53198.5,0.833,3.86161792
D5_2_11,746.0,19.3725,33882.5,98.8885,13206.5,5422.5,56545.5,0.825,8.07512872
D5_2_12,742.0,18.7195,34157.5,79.6385,13429.0,6693.0,55537.5,0.7115,9.41963296
D5_2_14,694.5,21.0815,32290.5,91.687,12498.0,6622.0,52480.0,1.3855,5.73565318
D5_2_15,770.5,19.9225,34371.5,124.2835,13069.0,6481.0,60538.0,0.9635,11.4314107
D6_1_1,772.0,17.0295,35085.0,56.41,13266.5,7885.5,67456.5,0.481,6.70535024
D6_1_2,687.0,15.7085,31296.0,55.85,11762.0,7225.0,61188.5,0.604,3.06641411
D6_1_3,743.0,15.4485,33530.0,52.4525,12607.0,8783.0,61076.5,0.528,3.25015117
D6_1_4,754.5,16.8325,33956.0,55.9735,12823.0,9226.5,63876.0,0.5935,3.41579536
D6_1_5,686.5,15.65,31464.0,52.4395,11856.0,7899.5,60518.0,0.4555,1.62641927
D6_1_6,772.5,16.984,34823.5,53.595,13110.5,7612.0,68324.0,0.5585,7.1263649
D6_1_7,710.5,14.9525,32319.0,50.8005,12221.5,6764.5,63648.5,0.453,2.07730225
D6_1_8,729.0,16.3035,33498.5,61.011,12638.0,7724.0,66420.0,0.552,3.01600937
D6_1_9,832.5,16.9785,37983.5,57.254,14343.5,9894.0,71274.5,0.797,8.52748965
D6_1_10,712.0,16.9215,32690.0,56.764,12317.0,7772.5,63725.0,0.4815,3.07703019
D6_1_11,761.5,15.4305,34447.5,51.373,13104.5,9863.5,64771.0,0.454,1.71295371
D6_1_12,727.0,15.474,32976.0,50.985,12498.0,8725.0,64098.5,0.4615,2.47528879
D6_1_13,735.5,15.4605,33327.0,52.5275,12599.0,7948.0,64631.0,0.435,3.89301585
D6_1_14,688.0,15.7685,31309.0,52.215,11657.0,7281.0,58497.0,0.464,1.62482696
D6_1_15,819.5,15.9795,37260.5,56.227,14036.5,10408.5,69632.5,0.508,3.45660386
E1_1_1,860.0,27.6755,38088.0,90.2025,12013.0,7287.5,39198.5,0.8055,1.07059443
E1_1_3,1038.5,28.151,45395.0,109.576,14264.5,10655.5,36762.5,0.948,5.86022787
E1_1_4,965.5,28.82,40054.0,90.9055,12706.0,8401.0,33011.5,1.042,5.03214112
