SampleN,Mn_S,Cu_S,Fe_S,Zn_S,Mg_S,K_S,Ca_S,Mo_S,SumTS
A2_1_6,140.8064655,26.07625287,15432.12301,32.40270876,3355.618455,2042.739884,1784.531239,0.1843049,14.3922317
A2_1_7,94.14497463,23.59739244,10242.48909,24.69591487,1998.367114,1443.932879,1305.524653,0.105824777,5.15391004
A2_1_8,149.3892077,26.63973188,15151.20398,27.68175032,3102.765573,1899.347657,1655.040908,0.20583612,9.31390025
A2_1_9,156.3519378,28.76255495,17503.9619,31.90262792,3524.599054,1968.404329,1730.677246,0.225539057,2.52111707
A2_1_10,165.9441543,27.96010267,17120.89307,38.09726027,3720.432619,2055.313273,1963.985453,0.212122762,6.2654502
A2_1_11,152.7392435,26.37522823,17024.68781,45.3146006,3418.406615,2094.414009,1652.907786,0.185923212,5.0314173
A2_1_12,110.2243965,15.8963216,10901.94718,38.05330876,2299.969944,1273.573522,1562.230549,0.116832329,9.15003471
A2_1_14,77.31021661,18.4970777,8578.973061,25.2376978,1712.13013,1073.476776,1001.285628,0.07814042,4.40338309
A2_1_15,92.74653143,22.6508965,9971.662635,34.15299637,2118.163307,1305.030282,1183.491285,0.083520464,4.28305784
A2_2_5,371.6416083,36.71870349,26003.37344,46.38970678,5146.129965,2721.141676,2770.062274,0.596320224,3.59956276
A2_2_6,347.4816208,46.42540769,28410.37073,48.34119864,5415.875579,2744.019327,2883.59595,0.4896254,3.67175536
A2_2_7,413.7236436,30.7553593,25829.26355,41.95079344,5278.638348,2738.319763,2767.98776,0.334609568,5.87284298
A2_2_8,333.4353339,40.15280454,30323.25859,51.69751769,6076.778893,3038.646766,3187.818458,0.417208877,4.73170575
A2_2_9,307.7628735,44.27928652,24454.99915,70.63255575,4582.057929,2546.172091,2672.041638,0.387554858,7.20263991
A2_2_10,298.0062161,41.64357201,27670.94197,67.26678252,5098.544598,2757.360412,2847.55189,0.509051577,4.22274933
A2_2_11,447.793185,46.66047829,29211.18659,52.55713969,5772.789137,2757.955806,3086.62901,0.4554767,6.40604933
A2_2_12,346.8447308,40.25621086,30264.82848,55.76565356,5445.532719,2775.805397,2828.019742,0.518516562,4.55281768
A2_2_13,342.9829971,30.94101638,29223.08062,48.78665327,5363.657116,2833.959253,2830.631663,0.519539653,5.69708636
A2_2_14,247.0884604,39.11853148,24036.90814,44.35592754,4674.939647,2296.964693,2603.813106,0.435005472,5.785083
A2_2_15,269.0169377,33.97561141,24272.63447,38.15403752,4815.267947,2429.695128,2961.325476,0.381686275,6.96029029
