SampleN,Y_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Th_S,SumTS
F5_1_7,15.727,34.094,70.4435,7.9305,29.4895,5.5105,1.0625,4.5,0.5655,2.985,0.518,1.355,1.0785,10.349,1.70532101
F5_1_8,14.3475,31.8875,65.144,7.3815,27.8285,5.2755,1.0005,4.287,0.5415,2.798,0.481,1.255,0.9725,9.488,2.43857391
F5_1_9,16.843,38.3495,76.9405,8.871,32.869,6.168,1.1365,5.0535,0.6385,3.2845,0.561,1.4345,1.1045,11.904,3.783397
F5_1_10,16.5665,37.4745,74.999,8.628,31.9875,5.9565,1.132,4.8425,0.6125,3.1795,0.55,1.4255,1.1015,10.2405,5.12343352
F5_1_11,14.586,32.701,67.668,7.6885,29.112,5.51,1.0455,4.6245,0.582,3.0065,0.5235,1.342,1.046,10.415,6.29487138
F5_1_12,17.027,36.429,73.534,8.4875,31.7085,5.9595,1.169,5.008,0.6355,3.343,0.58,1.4995,1.1765,10.845,2.22585837
F5_1_13,13.9725,30.964,64.623,7.344,27.647,5.226,1.008,4.416,0.56,2.9095,0.502,1.287,0.991,9.89,4.6313798
F5_1_14,15.458,34.561,72.7685,8.3325,31.363,5.9855,1.1115,4.9395,0.622,3.1975,0.546,1.3995,1.0785,11.446,1.75665674
F5_1_15,15.3625,33.643,69.517,7.8165,29.202,5.479,1.056,4.5095,0.5695,2.9685,0.5065,1.3195,1.028,10.2975,4.65193397
F5_2_1,14.5455,30.1115,63.474,7.0745,27.089,5.3685,0.9945,4.55,0.587,3.1795,0.5635,1.546,1.2895,10.2675,1.36996597
F5_2_2,12.2835,27.9385,58.933,6.361,23.338,4.3915,0.8505,3.6625,0.4545,2.3935,0.4145,1.099,0.8585,6.885,1.52726623
F5_2_3,16.493,33.191,70.0825,7.726,29.0805,5.8005,1.086,4.973,0.646,3.519,0.626,1.713,1.4295,11.1255,1.37714565
F5_2_5,15.708,35.458,75.877,8.2715,30.667,5.9085,1.145,4.9385,0.6245,3.333,0.572,1.5205,1.213,10.504,1.48435879
F5_2_6,15.793,35.2225,74.9755,8.183,30.2485,5.782,1.0985,4.8115,0.6095,3.2555,0.565,1.5105,1.2005,9.9875,1.34088368
F5_2_7,13.4175,33.8215,71.075,7.7565,28.6985,5.4825,1.0495,4.6065,0.5795,3.068,0.525,1.3875,1.0835,9.556,3.50396672
F5_2_8,19.21,37.4285,79.6145,8.729,32.2555,6.281,1.227,5.25,0.665,3.575,0.62,1.6575,1.291,10.547,1.99401213
F5_2_9,15.4355,32.0995,68.121,7.7235,29.1335,5.769,1.0845,4.886,0.641,3.4755,0.616,1.6875,1.4235,11.712,3.29688957
F5_2_10,13.258,31.135,66.4075,7.032,25.4775,4.8155,0.881,3.887,0.489,2.5875,0.438,1.165,0.9145,8.605,1.92668551
F5_2_11,17.583,36.076,77.7555,8.523,31.519,6.113,1.1965,5.0425,0.639,3.4045,0.579,1.5445,1.1935,9.74,0.54937416
F5_2_12,12.816,33.6345,70.2795,7.68,28.351,5.2505,0.9655,4.2655,0.5285,2.834,0.487,1.3035,1.044,9.1825,0.81659843
F5_2_13,16.3675,33.17,72.1865,7.883,29.294,5.7185,1.1105,4.7205,0.594,3.1515,0.542,1.4455,1.1125,8.905,1.23965206
F5_2_14,12.475,28.636,60.474,6.4645,23.6035,4.454,0.831,3.647,0.453,2.3845,0.406,1.085,0.842,6.771,0.77244784
F5_2_15,12.646,30.37,64.177,7.031,25.406,4.804,0.9165,3.933,0.4865,2.572,0.44,1.1715,0.9055,7.85,2.57503698
F5_3_1,13.164,27.066,56.793,6.321,23.4325,4.279,0.708,3.5525,0.3845,2.3345,0.414,1.051,0.789,7.134,1.45946923
F5_3_2,15.4255,29.2125,61.9365,6.853,25.5445,4.7235,0.8045,3.8925,0.4315,2.581,0.4605,1.1685,0.874,7.4305,1.1787195
F5_3_3,15.6525,30.4375,64.6975,7.239,26.905,4.974,0.863,4.152,0.465,2.712,0.4775,1.224,0.8975,8.459,0.792637
F5_3_4,16.697,33.5735,70.18,7.7035,28.253,5.237,0.88,4.2195,0.474,2.784,0.496,1.254,0.941,8.6615,0.95999203
F5_3_5,17.5935,34.5715,71.324,7.7905,28.4595,5.1865,0.9,4.213,0.479,2.8305,0.5165,1.3265,1.02,8.524,0.75855956
F5_3_6,12.8825,25.4915,54.994,6.146,23.036,4.2705,0.7185,3.556,0.3875,2.339,0.421,1.0375,0.77,6.8315,1.83846591
F5_3_7,17.237,35.0935,73.5115,8.1275,29.9495,5.5465,0.9435,4.5035,0.5075,2.9365,0.5205,1.3365,1.0025,9.173,1.03012658
F5_3_8,13.955,30.8145,67.1775,7.3635,27.6475,5.237,1.0535,4.418,0.7225,2.9515,0.7075,1.458,1.1125,9.685,1.31395388
F5_3_9,17.339,37.5975,79.364,8.798,32.468,6.039,1.0015,4.853,0.55,3.0965,0.5495,1.377,1.0315,10.02,1.33649103
F5_3_10,12.9485,25.5065,54.1305,5.984,22.358,4.158,0.7135,3.441,0.377,2.3075,0.4205,1.041,0.79,6.738,0.8363071
F5_3_11,16.615,32.3115,67.0865,7.3705,27.0675,5.0085,0.8725,4.126,0.461,2.753,0.4965,1.2675,0.9575,8.063,1.66914979
F5_3_12,15.479,31.174,65.3095,7.2335,26.557,4.889,0.8455,4.028,0.455,2.6855,0.4825,1.2365,0.938,7.8785,1.21967141
F5_3_13,11.875,24.057,50.4565,5.666,21.1625,3.9485,0.6505,3.2865,0.359,2.1945,0.412,0.9805,0.7285,6.5515,3.60910528
F5_3_14,15.7745,35.284,74.2055,8.162,30.5035,5.698,1.0595,4.6405,0.5835,3.0215,0.513,1.3545,1.041,10.269,1.39494103
F5_3_15,13.118,27.119,56.393,6.2185,23.197,4.2745,0.7175,3.496,0.388,2.349,0.428,1.0675,0.817,7.067,0.63941215
F6_1_1,13.9715,20.9765,48.399,5.994,23.991,4.924,0.8655,4.147,0.4715,2.7085,0.4645,1.1235,0.774,8.6205,4.92524006
F6_1_2,14.138,20.914,48.0515,6.004,24.1425,4.9915,0.8895,4.2235,0.481,2.728,0.468,1.114,0.755,8.624,2.48386359
F6_1_3,14.394,22.2185,50.865,6.303,25.2735,5.1535,0.9255,4.2875,0.488,2.8245,0.4865,1.1675,0.804,9.04,3.04334446
F6_1_4,12.9205,20.09,46.311,5.819,23.4135,4.8305,0.8505,3.952,0.448,2.6055,0.4475,1.06,0.734,8.3015,3.013275
