SampleN,Y_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Th_S,SumTS
Z2_2_11,14.5545,30.185,63.0485,6.9225,25.8155,4.8175,0.7705,3.8395,0.438,2.647,0.475,1.254,0.986,8.2515,2.4589621
Z2_2_12,15.139,31.5415,63.512,7.3085,27.161,5.138,0.823,4.082,0.4715,2.834,0.507,1.3455,1.0665,9.01,17.2384501
Z2_2_13,16.1735,32.7115,67.744,7.538,27.9245,5.2705,0.863,4.214,0.491,2.9445,0.53,1.398,1.112,9.3455,4.82400501
Z2_2_14,15.3685,31.482,64.094,7.3205,27.3305,5.146,0.8315,4.1245,0.472,2.8375,0.5105,1.3475,1.0705,9.269,3.64202562
Z2_2_15,16.2975,33.7035,71.6085,7.8465,29.0285,5.461,0.892,4.359,0.5005,2.982,0.5355,1.423,1.133,9.683,5.29607306
Z2_2_6d,15.0475,29.963,60.627,7.0225,26.179,4.942,0.8135,3.954,0.4555,2.7595,0.4945,1.304,1.0335,8.9095,4.47882912
Z3_1_2,16.3,31.279,66.516,7.304,26.871,5.0935,0.793,4.0,0.457,2.749,0.493,1.2995,1.026,8.3445,2.16890205
Z3_1_3,15.8745,30.8005,63.3025,7.138,26.215,4.9205,0.789,3.8765,0.443,2.705,0.485,1.2925,1.029,8.308,0.28204086
Z3_1_4,14.4815,28.843,59.502,6.7155,24.891,4.7075,0.743,3.7285,0.4195,2.5485,0.456,1.205,0.951,7.8235,5.55467997
Z3_1_6,14.7965,29.148,60.596,6.837,25.4665,4.8075,0.7695,3.824,0.438,2.686,0.482,1.2735,1.0055,8.2765,8.44901465
Z3_1_7,16.2975,31.599,64.859,7.2685,26.821,5.009,0.805,3.9765,0.454,2.7615,0.496,1.3065,1.0295,8.4575,0.93154375
Z3_1_8,15.3155,30.599,62.8735,7.0665,26.072,4.9205,0.791,3.897,0.443,2.679,0.482,1.2625,1.0065,8.494,2.2964122
Z3_1_9,15.684,31.813,65.395,7.371,27.1395,5.101,0.835,4.0255,0.4565,2.7585,0.4975,1.311,1.038,8.8435,4.32220766
Z3_1_10,16.6215,31.8365,65.851,7.3555,27.2815,5.1075,0.831,4.0455,0.4625,2.7795,0.499,1.3135,1.0515,8.6605,2.42808477
Z3_1_11,15.9265,31.1525,64.135,7.1645,26.4315,4.964,0.794,3.9165,0.4445,2.707,0.487,1.282,1.0195,8.265,0.67625082
Z3_1_12,15.8485,30.5415,62.4305,7.0485,26.058,4.8825,0.784,3.881,0.439,2.6695,0.479,1.2645,1.001,8.162,4.16623362
Z3_1_13,14.7005,29.389,60.945,6.9155,25.441,4.7995,0.773,3.7975,0.43,2.6075,0.4675,1.2295,0.972,8.338,3.81847994
Z3_1_14,17.2135,32.651,70.4955,7.6255,28.3215,5.3425,0.889,4.23,0.4975,3.014,0.5405,1.4405,1.158,9.3865,0.40412149
Z3_1_15,17.022,34.2275,69.8995,7.8175,28.914,5.3645,0.883,4.2725,0.4895,2.9605,0.537,1.4335,1.1355,9.3665,1.13317022
Z4_1_1,15.329,30.286,61.5215,7.065,26.107,4.8885,0.7745,3.8755,0.434,2.622,0.4775,1.248,0.99,8.2495,3.48835599
Z4_1_2,13.7725,27.6055,55.944,6.418,23.907,4.438,0.7125,3.5735,0.3995,2.45,0.445,1.153,0.909,7.594,2.58192239
Z4_1_3,14.036,27.976,56.6115,6.4635,24.0735,4.517,0.7045,3.564,0.3995,2.44,0.446,1.1475,0.9095,7.702,2.12363249
Z4_1_4,15.0105,29.6845,59.9455,6.922,25.8245,4.9005,0.777,3.908,0.442,2.6655,0.487,1.26,0.995,8.1545,2.90168475
Z4_1_5,15.301,29.9005,60.4895,7.0145,25.937,4.8315,0.78,3.859,0.435,2.636,0.475,1.2545,0.993,8.5135,1.40017472
Z4_1_6,16.106,31.1045,63.636,7.1445,26.706,4.9605,0.8015,4.021,0.454,2.7285,0.4945,1.2965,1.0235,8.075,1.33575237
Z4_1_7,14.759,29.468,60.1615,6.886,25.359,4.723,0.764,3.7705,0.4325,2.643,0.486,1.278,1.015,8.3245,1.59424114
Z4_1_8,16.673,32.509,66.0755,7.512,27.689,5.1685,0.842,4.078,0.4655,2.817,0.5155,1.352,1.0775,8.5875,3.03017868
Z4_1_9,15.344,29.4575,59.211,6.8125,25.1685,4.758,0.7565,3.801,0.4325,2.6235,0.4845,1.255,0.9975,8.048,3.38708705
Z4_1_10,16.5215,32.144,65.041,7.48,27.727,5.2,0.836,4.0955,0.462,2.798,0.5045,1.3335,1.0525,8.7275,3.35651713
Z4_1_11,15.7985,30.825,70.198,7.217,26.623,4.983,0.7945,3.9465,0.453,2.7105,0.4985,1.2895,1.0325,8.6085,3.1457217
Z4_1_12,16.6335,32.355,65.2765,7.476,27.5135,5.137,0.834,4.0915,0.4665,2.809,0.51,1.3425,1.0575,8.7425,3.32929454
Z4_1_13,15.0455,31.038,63.673,7.2205,26.7225,5.004,0.8075,3.911,0.4465,2.7035,0.4955,1.293,1.025,8.649,3.35077816
Z4_1_14,18.176,35.436,71.451,8.173,30.112,5.679,0.9005,4.52,0.515,3.072,0.55,1.4415,1.1475,9.74,1.76770967
Z4_1_15,15.4805,29.4315,60.623,6.869,25.403,4.7855,0.76,3.8735,0.4275,2.575,0.4675,1.2255,0.962,7.8895,2.30053466
Z4_2_1,17.842,36.5535,78.244,8.5775,31.6925,6.0565,1.17,5.021,0.804,3.417,0.8005,1.7505,1.415,11.041,8.83438572
Z4_2_2,16.2335,32.8425,69.708,7.692,28.5685,5.465,1.057,4.4915,0.7365,3.0575,0.732,1.5555,1.2525,9.243,7.57861514
Z4_2_3,15.676,33.909,72.277,7.9345,29.389,5.597,1.0735,4.5825,0.7465,3.1295,0.7435,1.569,1.2635,9.801,9.50189452
Z4_2_4,17.2985,34.751,72.9145,8.089,29.803,5.6575,1.0945,4.6305,0.7545,3.145,0.747,1.6155,1.2905,9.868,8.90982755
Z4_2_5,16.428,34.8385,73.738,8.102,29.954,5.672,1.0695,4.587,0.7455,3.101,0.7355,1.57,1.2635,10.053,7.86681404
Z4_2_7,17.74,35.7115,77.003,8.3135,30.5275,5.781,1.1105,4.7225,0.77,3.2335,0.762,1.6485,1.3255,10.05,4.65992306
Z4_2_8,16.388,34.4595,73.391,8.037,29.8725,5.714,1.0985,4.7135,0.763,3.198,0.7535,1.628,1.3055,9.999,4.8743872
Z4_2_9,15.921,32.4765,69.752,7.6385,28.357,5.4545,1.0395,4.4285,0.731,3.035,0.7265,1.5415,1.241,9.3555,4.06466604
Z4_2_10,17.5415,36.3485,80.833,8.447,31.084,5.844,1.1165,4.8105,0.771,3.225,0.756,1.634,1.306,10.3625,5.86137101
Z4_2_11,17.592,35.144,77.34,8.2435,30.6,5.85,1.128,4.819,0.781,3.301,0.779,1.6775,1.358,10.081,4.28750387
Z4_2_12,17.803,36.1835,74.943,8.206,30.6035,5.807,1.083,4.697,0.5955,3.201,0.559,1.5295,1.257,10.5595,6.58626243
Z4_2_13,17.6635,35.6415,76.01,8.253,30.5135,5.787,1.096,4.7415,0.7665,3.234,0.768,1.663,1.339,10.3235,6.6878715
Z4_2_14,16.428,33.821,71.524,7.9195,29.25,5.562,1.075,4.5915,0.7495,3.1325,0.747,1.598,1.2885,9.915,6.27146262
Z4_2_15,15.5435,31.9775,67.1645,7.4485,27.5755,5.249,1.0005,4.3025,0.7125,2.9165,0.706,1.497,1.191,8.985,4.97515499
Z4_3_1,14.3905,34.1135,73.335,7.855,29.2995,5.5595,1.0655,4.552,0.748,3.129,0.7445,1.597,1.304,10.882,5.44516964
Z4_3_2,16.2755,37.2045,78.439,8.612,32.1675,6.1365,1.158,4.963,0.7925,3.3655,0.7855,1.7135,1.388,11.661,3.57716573
Z4_3_3,16.761,39.0735,93.48,9.18,34.4625,6.549,1.2485,5.4095,0.851,3.662,0.8435,1.8685,1.5305,12.4485,2.05164089
Z4_3_4,16.4805,37.2025,83.9235,8.7255,32.488,6.19,1.17,5.02,0.8025,3.3995,0.793,1.729,1.404,11.611,5.24770949
Z4_3_5,16.1195,36.8555,80.033,8.582,31.7055,5.9505,1.122,4.829,0.776,3.2905,0.7705,1.6685,1.3505,11.1705,3.47571454
Z4_3_6,14.8495,34.2195,74.03,7.978,29.8965,5.6665,1.088,4.6645,0.757,3.1925,0.7595,1.634,1.34,10.9215,5.53866163
Z4_3_7,17.5565,40.6785,98.7235,9.561,35.21,6.6625,1.255,5.32,0.8445,3.6265,0.8315,1.831,1.494,12.052,4.03692243
Z4_3_8,14.3675,33.213,69.9125,7.565,29.019,5.583,0.9985,4.5225,0.604,3.2245,0.6585,1.557,1.3315,11.783,1.62501424
Z4_3_9,15.935,37.018,79.2195,8.597,31.9615,5.9795,1.1275,4.8575,0.7795,3.294,0.7735,1.6725,1.3575,11.423,1.50392927
Z4_3_10,15.2505,35.975,78.6705,8.349,31.0625,5.8415,1.081,4.6915,0.752,3.1535,0.7465,1.5875,1.282,10.627,2.44388853
Z4_3_11,14.389,34.53,73.991,8.0695,30.0255,5.662,1.049,4.5385,0.736,3.0245,0.7265,1.5355,1.2425,10.864,4.6709736
Z4_3_12,15.2025,35.4425,76.5505,8.3,30.774,5.7985,1.082,4.6765,0.7515,3.1225,0.743,1.5835,1.275,10.909,2.35781673
Z4_3_13,15.2425,36.495,77.706,8.5335,31.6325,5.9455,1.128,4.8515,0.777,3.2855,0.774,1.673,1.367,11.583,2.61926825
Z4_3_14,15.615,36.8365,78.4815,8.553,31.592,5.892,1.1005,4.743,0.767,3.2555,0.7665,1.6615,1.351,11.2675,5.11287029
Z4_3_15,17.128,38.1785,77.1965,8.8155,32.684,6.075,1.1035,4.8515,0.6145,3.214,0.5665,1.537,1.275,11.3855,4.20922259
