SampleN,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilTypenum,AN_x,AP_x,AK_x
Z1_2_7,8.19,148.1,6.79,3.96,10.75,1414.6594,18.92454342,0,267.652,3.623844899,216.1
Z1_2_8,8.2,148.5,2.8,5.77,8.57,1617.6006,18.21609145,0,186.34,2.796308872,258.1
Z1_2_9,8.22,153.6,6.31,9.31,15.62,1564.409,18.72637671,0,259.182,2.790846025,360.25
Z1_2_10,8.23,147.6,6.28,6.53,12.81,1497.3266,1.437934318,0,186.34,2.896292745,280.2
Z1_2_11,8.33,152.4,6.57,6.11,12.68,1411.102,16.31453895,0,250.712,2.99198149,256.8
Z1_2_12,8.38,156.3,6.89,17.97,24.86,1427.8726,17.92276205,0,189.728,2.598337064,238.7
Z1_2_13,8.39,155.4,5.96,6.57,12.53,1378.4078,17.14272251,0,193.116,2.693535515,224.6
Z1_2_14,8.21,161.3,9.87,8.08,17.95,1490.5506,17.4216404,0,271.2094,3.497761433,303.5
Z1_2_15,8.16,181.4,2.43,7.68,10.11,1721.104,20.02654386,0,276.2914,7.091490212,374.4
Z1_3_1,8.27,167.4,1.68,14.52,16.2,557.1566,19.37272599,0,217.8484,1.597763132,196.3
Z1_3_2,8.24,143.2,5.33,3.86,9.19,512.435,8.130945385,0,255.794,1.794401467,200.85
Z1_3_3,8.19,175.4,5.58,7.9,13.48,1107.7066,7.874000551,0,269.346,28.97450244,905.3
Z1_3_4,8.29,163.9,4.31,6.8,11.11,1046.2144,17.21825096,0,272.734,16.06786427,498.5
Z1_3_5,8.33,184.9,5.33,7.48,12.81,1294.0466,15.0922976,0,326.2644,33.76893258,559.9
Z1_3_6,8.34,181.6,4.63,9.02,13.65,1040.963,17.58667904,0,267.652,11.46788991,343.1
Z1_3_7,8.33,172.4,6.26,5.56,11.82,1077.2146,14.09503315,0,271.2094,20.43460925,627.4
Z1_3_8,8.38,162.7,1.64,4.16,5.8,1128.7122,14.09086933,0,135.52,13.75762651,595.35
Z1_3_9,8.47,170.6,5.41,3.65,9.06,989.1266,10.61814609,0,271.2094,8.298340332,543.4
Z1_3_10,8.32,169.4,4.06,4.06,8.12,1027.2416,13.96904236,0,189.8974,13.09842819,740.85
Z1_3_11,8.34,162.4,5.25,4.49,9.74,1023.0066,15.61879202,0,162.624,14.87916916,427.6
Z1_3_12,8.26,179.8,4.68,5.52,10.2,1316.4074,15.50190041,0,206.668,20.06869284,479.65
Z1_3_13,8.29,163.3,7.37,5.31,12.68,1255.0846,21.79431674,0,321.013,8.381560567,217.45
Z1_3_14,8.17,186.3,5.98,5.21,11.19,1195.7946,15.90812458,0,189.728,23.95018362,730.9
Z1_3_15,8.18,168.8,6.22,4.58,10.8,943.3886,20.13932322,0,162.624,24.57542458,343.9
Z1_4_5,8.23,156.9,4.25,3.48,7.73,974.05,12.80265864,0,186.34,16.75710182,217.15
Z1_4_6,8.27,148.1,5.99,3.53,9.52,1004.3726,13.83756468,0,267.652,11.99904008,227.35
Z1_4_7,8.33,157.0,6.19,3.61,9.8,1125.3242,12.90354478,0,133.826,16.17605943,235.5
Z1_4_8,8.35,153.7,1.04,3.78,4.82,1033.1706,12.67239311,0,221.2364,17.94902477,231.05
Z1_4_9,7.43,152.8,4.91,3.68,8.59,1086.1928,13.91975447,0,326.2644,9.183836448,187.3
Z1_4_10,7.33,142.1,5.39,3.39,8.78,978.9626,11.27751984,0,267.652,11.2891624,191.5
Z1_4_11,7.73,131.9,5.41,3.7,9.11,972.1866,12.35185767,0,217.8484,10.88476133,185.75
Z1_4_12,7.8,137.5,5.04,3.84,8.88,921.3666,10.89975843,0,214.291,10.89477051,189.7
Z1_4_13,7.92,141.3,5.18,3.35,8.53,1065.0178,11.4922862,0,271.2094,11.57915752,228.6
Z1_4_14,7.68,135.4,5.86,3.65,9.51,904.4266,11.96997516,0,267.652,6.389266033,371.55
Z1_4_15,8.07,137.5,5.0,3.71,8.71,977.2686,12.13460662,0,326.2644,12.47953356,221.1
