SampleN,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilTypenum,AN_x,AP_x,AK_x
C3_3_5,7.98,171.4,4.76,4.48,9.24,757.0486,9.310216388,2,214.291,0.99980004,47.1
C3_3_6,8.0,171.2,5.64,6.19,11.83,1102.9634,12.02858488,2,242.242,0.996611521,47.24
C3_3_7,8.02,191.8,6.95,9.43,16.38,1290.6586,16.46154202,2,267.652,2.49670435,65.82
C3_3_8,8.03,166.2,5.53,5.22,10.75,973.8806,19.66177628,2,252.406,1.196888091,48.28
C3_3_9,8.07,171.1,4.5,6.72,11.22,962.0226,12.53290595,2,271.2094,0.99952023,48.42
C3_3_10,8.18,160.4,7.22,6.96,14.18,791.2674,15.69516841,2,186.34,0.799392462,34.34
C3_3_12,8.19,173.7,5.24,9.89,15.13,923.0606,9.117660762,2,267.652,0.698965531,50.28
C3_3_13,8.13,156.3,3.17,5.17,8.34,725.879,11.46175824,2,245.63,1.396926761,53.32
C3_3_14,8.17,159.6,3.93,4.22,8.15,714.6986,9.006590602,2,267.652,0.797638989,50.7
C3_3_15,8.13,171.6,4.61,9.71,14.32,1150.0566,12.44191839,2,242.242,1.694644922,67.96
D1_1_1,8.37,158.1,4.66,5.3,9.96,838.3606,11.02479972,1,267.652,2.298437063,78.6
D1_1_8,8.39,157.0,5.7,4.62,10.32,841.5792,14.15172238,1,121.968,0.698881789,49.22
D1_1_9,8.37,159.4,4.88,5.09,9.97,860.3826,12.52998958,1,267.652,1.497783281,56.4
D1_1_11,8.33,159.5,5.84,5.07,10.91,794.8248,5.122559797,1,137.214,4.187771707,44.86
D2_1_1,8.21,165.3,5.84,3.93,9.77,906.6288,13.961885,1,143.99,8.881880963,113.6
D2_1_2,8.18,178.6,4.91,7.98,12.89,1033.1706,12.00378003,1,271.2094,10.97497705,130.26
D2_1_3,8.18,176.3,3.8,3.76,7.56,899.3446,14.03988506,1,431.97,5.997121382,73.76
D2_1_4,8.19,171.8,5.13,6.64,11.77,1288.9646,14.7105802,1,269.346,18.44319496,91.58
D2_1_5,8.29,168.5,6.02,5.61,11.63,1223.4068,17.55923166,1,147.378,19.15403033,98.0
D2_1_6,8.26,160.3,5.11,3.65,8.76,914.5906,17.09467825,1,267.652,7.389654484,101.32
D2_1_7,8.29,163.7,4.53,4.54,9.07,830.907,12.27941467,1,140.602,8.889687962,91.68
D2_1_8,8.24,173.0,4.8,5.76,10.56,877.3226,10.84608122,1,322.8764,7.392902813,131.24
D2_1_9,8.17,160.3,5.62,4.85,10.47,812.9506,13.58667086,1,188.034,5.883526127,199.98
D2_1_10,8.19,160.2,5.02,6.07,11.09,1176.9912,12.64751587,1,321.013,15.65054428,123.14
D2_1_11,8.16,161.7,5.36,6.24,11.6,782.4586,17.14221907,1,188.034,5.782882667,88.62
D2_1_12,8.18,157.0,4.31,4.75,9.06,904.0878,10.70954052,1,210.903,6.88567779,104.6
D2_1_13,8.2,157.4,5.94,3.26,9.2,697.7586,13.01529746,1,188.034,5.586592179,88.78
D2_1_14,8.22,191.4,4.39,4.51,8.9,811.9342,13.2968607,1,267.652,6.193558699,92.6
D2_1_15,8.24,163.1,4.98,3.68,8.66,924.7546,13.49385873,1,138.908,6.198760248,87.26
D2_2_1,8.34,170.9,6.18,3.59,9.77,846.4918,9.652130543,1,221.2364,6.095367521,58.42
D2_2_2,8.34,204.0,9.47,3.91,13.38,731.6386,9.240613577,1,186.34,7.583014049,90.38
D2_2_3,8.28,209.0,6.73,12.42,19.15,817.1856,11.37629745,1,214.291,5.781960284,91.86
D2_2_4,8.28,193.8,6.96,5.71,12.67,719.7806,10.58335672,1,121.968,4.297593348,68.16
D2_2_5,8.27,173.8,5.32,8.54,13.86,848.1858,11.63702567,1,214.291,6.681558897,94.92
D2_2_6,8.25,183.0,6.6,4.71,11.31,831.5846,12.21307004,1,137.214,4.984249771,71.78
D2_2_7,8.25,178.4,5.43,3.81,9.24,949.6564,14.02024802,1,217.8484,5.483549352,79.48
D2_2_8,8.27,178.7,5.36,4.66,10.02,784.1526,13.71842972,1,227.843,5.985395635,88.56
D2_2_9,8.19,203.0,7.23,7.23,14.46,973.8806,11.42288466,1,269.346,5.889634244,113.48
D2_2_10,8.17,199.2,5.59,6.63,12.22,907.8146,14.43607853,1,189.728,3.69261477,99.96
D2_2_11,8.22,180.3,6.22,4.73,10.95,1056.5478,12.85547855,1,322.8764,6.181702162,94.86
D2_2_12,8.23,179.0,4.95,5.43,10.38,853.6066,12.59559489,1,242.242,5.192315373,72.04
D2_2_13,8.28,189.6,7.9,4.98,12.88,999.6294,11.54152135,1,272.734,6.589456869,96.54
D2_2_15,8.25,184.6,5.04,6.29,11.33,1004.8808,11.92013056,1,217.8484,6.685025543,104.6
D2_3_1,8.27,171.2,4.17,3.96,8.13,682.5126,11.67574773,1,121.968,5.084745763,58.48
D2_3_2,8.26,181.3,4.73,5.42,10.15,779.24,11.40145492,1,116.886,7.179323548,59.98
D2_3_3,8.25,158.8,5.25,4.16,9.41,743.4966,11.53855617,1,215.985,7.274104189,117.2
D2_3_5,8.27,166.2,5.27,3.86,9.13,748.2398,9.458471464,1,186.34,9.38161204,68.36
D2_3_6,8.26,177.1,3.95,3.82,7.77,660.4906,9.844297074,1,322.8764,9.19154378,67.9
D2_3_7,8.14,182.2,5.34,3.85,9.19,738.4146,9.986222746,1,271.2094,20.78005115,84.12
D2_3_8,8.4,161.8,4.26,3.05,7.31,741.4638,9.171633134,1,111.804,6.699732011,66.44
D2_3_9,8.24,172.6,5.08,3.88,8.96,794.8248,10.44210789,1,214.291,7.784431138,81.9
D2_3_10,8.18,175.1,4.72,4.27,8.99,674.0426,11.1438941,1,137.214,7.383461047,72.42
D2_3_11,8.28,178.7,4.51,5.55,10.06,789.5734,11.39931392,1,267.652,7.787539936,65.52
D2_3_12,8.38,169.8,1.82,3.4,5.22,655.4086,10.97021653,1,242.242,6.684225228,77.46
D2_3_13,6.69,178.0,5.82,3.18,9.0,779.24,9.902919592,1,137.214,5.883526127,102.26
D2_3_14,6.89,165.5,6.28,3.75,10.03,735.0266,9.351902287,1,212.597,6.088067388,71.52
D2_3_15,6.73,163.5,5.79,4.02,9.81,682.8514,10.73172073,1,204.974,7.290376703,77.24
E6_1_5,7.91,99.9,10.43,5.24,15.67,1331.3146,21.42143765,0,322.8764,33.13108734,109.44
E6_1_6,7.99,94.4,8.42,3.96,12.38,1185.6306,17.79658577,0,154.154,22.33567326,80.2
E6_1_7,7.94,101.9,8.64,5.31,13.95,1331.3146,17.11741235,0,269.346,27.13812507,83.34
E6_1_8,7.93,95.2,5.35,4.79,10.14,1299.298,19.35876456,0,186.34,24.55187832,83.62
E6_1_9,7.88,96.1,6.9,3.93,10.83,1239.8386,21.35646868,0,322.8764,25.21628194,79.42
E6_1_10,7.82,113.6,7.52,5.07,12.59,1375.0198,24.66934457,0,249.018,34.13037404,120.66
E6_1_11,7.79,137.1,9.61,5.84,15.45,1322.8446,20.49548677,0,272.9034,28.27172827,88.84
E6_1_12,7.74,112.3,6.73,4.0,10.73,1228.6582,21.98337708,0,189.728,24.93218446,74.28
E6_1_13,7.75,112.8,9.66,5.78,15.44,1610.8246,20.20163551,0,271.2094,22.95867439,79.42
E6_1_14,7.73,99.0,8.13,4.46,12.59,1254.407,25.05490465,0,189.728,29.69310482,83.56
E6_1_15,7.73,98.1,6.62,3.65,10.27,1221.2046,17.75370064,0,267.652,20.08072251,116.46
E6_2_5,8.08,135.8,4.25,6.72,10.97,973.8806,10.84629755,0,135.52,3.598560576,205.15
E6_2_6,8.12,121.6,3.46,3.43,6.89,659.1354,15.64720017,0,269.346,5.397409244,90.45
E6_2_7,7.99,134.0,5.13,3.86,8.99,985.908,7.678020343,0,243.936,9.688373951,175.65
E6_2_8,8.0,119.8,2.97,4.72,7.69,680.8186,11.28308497,0,214.291,10.58687228,117.2
E6_2_9,8.04,134.8,4.49,2.74,7.23,770.6006,8.089986119,0,127.05,4.388239518,152.25
E6_2_10,8.03,133.1,5.16,3.4,8.56,892.5686,11.25447493,0,217.8484,4.599080184,153.25
E6_2_11,8.05,142.8,4.88,4.76,9.64,935.935,13.62182095,0,162.624,4.798080768,128.3
E6_2_12,8.07,100.0,5.26,2.9,8.16,856.9946,10.49527037,0,267.652,7.298832187,206.5
E6_2_13,8.05,136.7,4.78,3.57,8.35,727.573,13.36082988,0,189.728,1.862281977,135.15
E6_2_14,8.06,143.1,4.46,4.2,8.66,812.9506,7.798800924,0,267.652,3.299340132,151.3
E6_2_15,8.08,130.5,3.3,2.85,6.15,868.8526,10.97259796,0,152.46,4.397889013,170.4
E6_2_16,8.25,102.6,4.62,4.23,8.85,807.8686,10.35304584,0,217.8484,3.993769719,148.35
E7_1_5,7.3,85.2,7.74,4.15,11.89,1426.6868,15.71637732,1,310.002,17.75596521,133.6
E7_1_6,6.8,85.8,15.39,3.4,18.79,801.0926,20.39067877,1,267.652,21.58100871,98.75
E7_1_7,6.31,61.7,5.95,2.86,8.81,655.2392,10.92941945,1,201.4166,18.25837091,94.0
E7_1_8,6.02,40.3,5.7,3.72,9.42,990.8206,9.898772566,1,271.2094,19.9505227,139.1
E7_1_9,5.82,87.3,17.17,3.71,20.88,923.9076,14.99542751,1,157.542,23.72975991,92.6
E7_1_10,5.75,76.4,6.2,4.2,10.4,1100.9306,12.35933007,1,272.734,22.35261246,146.5
E7_1_11,5.72,77.9,10.6,3.0,13.6,827.1802,19.45069845,1,189.728,17.89284286,131.0
E7_1_12,5.93,67.8,5.56,3.31,8.87,799.3986,9.843350268,1,271.2094,28.11791383,122.95
E7_1_13,5.97,74.2,4.94,4.37,9.31,1044.5204,11.31109896,1,206.668,18.97040617,97.1
E7_1_14,5.83,80.5,8.11,3.23,11.34,990.8206,13.64973314,1,322.8764,23.78763043,159.6
E7_1_15,5.85,213.0,12.33,6.21,18.54,3298.218,14.1268125,1,431.97,17.78079674,80.45
E8_1_5,7.24,96.3,5.96,4.38,10.34,1565.0866,19.18611157,0,277.9854,26.74864261,332.15
E8_1_6,7.25,93.7,4.49,4.99,9.48,1791.5744,19.95640153,0,306.2752,24.15844747,219.2
E8_1_7,7.26,92.7,4.69,4.35,9.04,1644.7046,22.4594823,0,329.6524,29.75120802,257.4
E8_1_8,7.34,103.2,8.75,6.46,15.21,1590.1578,24.54546837,0,247.324,25.67637773,202.7
E8_1_9,7.36,154.1,7.56,8.87,16.43,1631.1526,20.31934071,0,326.2644,30.90358083,196.1
E8_1_10,7.34,91.8,8.73,6.7,15.43,1678.0764,18.8958053,0,369.292,29.96883241,232.3
E8_1_11,7.36,128.5,1.89,14.62,16.51,1392.2986,21.9854825,0,269.346,28.73333865,333.15
E8_1_12,7.36,117.5,5.99,9.2,15.19,1468.0204,16.9260651,0,242.242,20.8716146,206.9
